"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"376","367","  PCE excluding energy","DPXERX0",5604105,5644472,5693686,5739047,5785133,5855511,5899737,5946188,6011736,6032993,6141076,6206379,6275557,6379335,6465580,6578377,6641178,6743546,6825828,6934000,7053024,7110414,7180798,7238475,7272601,7315266,7344692,7466725,7492861,7524073,7575194,7597826,7639566,7716743,7825868,7864526,7937176,7973637,8052552,8139202,8205045,8289905,8356187,8387991,8497820,8539003,8583760,8677563,8728550,8763623,8801748,8840295,8816814,8823443,8756761,8615408,8575708,8537771,8588724,8596331,8653754,8718677,8769139,8858894,8920529,8942828,8975770
"377","368","  PCE excluding food and energy \2\","DPCCRX0",5056558,5099408,5148421,5191350,5234898,5302587,5347748,5392393,5453994,5478061,5582700,5647864,5717407,5816552,5898896,6007614,6063717,6160257,6237469,6336579,6461220,6509942,6579458,6631278,6667501,6706168,6737676,6858627,6887251,6917457,6966168,6983632,7021198,7103996,7206384,7249024,7315216,7354500,7429065,7508366,7565894,7650769,7709658,7734837,7842966,7876951,7920776,8005438,8055322,8094114,8129341,8162683,8143921,8148885,8090364,7965698,7929157,7882873,7927673,7929121,7981733,8051393,8096221,8177983,8238438,8258676,8292029
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",5245749,5290930,5347260,5384818,5427446,5492753,5517196,5581840,5636144,5658831,5758696,5825287,5875455,5979097,6050554,6141770,6210320,6305537,6379975,6469935,6552758,6617874,6676050,6740415,6772369,6783021,6814563,6926754,6950891,6994217,7048240,7071809,7101963,7181595,7279636,7323527,7387708,7415765,7485013,7571430,7643721,7726917,7785644,7787837,7864371,7910922,7952681,8026779,8079488,8109584,8147157,8168254,8138524,8145394,8064769,7945441,7931149,7911673,7970056,7982119,8036353,8097549,8155548,8240775,8284954,8297391,8333743
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",216923,216178,222090,227124,228494,231847,231226,234122,244830,235727,251933,260686,253459,273973,276742,303241,290865,310610,311739,304201,329246,306063,310498,310418,319411,311617,317480,371727,342752,346925,374348,349101,346547,364419,373499,365817,369304,362444,367030,371029,360026,378784,385752,335148,348672,348895,354510,352805,358284,361852,356553,355461,337998,319205,301117,267567,278651,275318,309293,281385,279934,285656,291596,317168,329600,304774,306793
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",255325,259834,267774,272471,275492,287328,291193,299095,303651,309292,318768,326652,338044,349421,363204,376266,390830,403331,419313,436971,453170,462107,470004,474892,479670,484751,490691,509954,526671,533895,537378,547989,550598,573010,601730,618983,633267,641584,657161,672279,691053,708125,720260,741204,770112,771058,781168,798508,811264,822513,841882,851812,838353,851610,832807,787402,781089,773677,791424,808244,837117,853691,871962,890796,911792,925860,943113
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",549254,546553,546650,549033,551527,554130,553122,554919,558833,555929,559250,559262,558726,563246,567046,570975,577721,583490,588543,597639,591676,600454,601238,607124,604972,608994,606880,607884,605357,606312,608689,613908,618111,612389,619138,615174,621615,618839,623187,630525,638829,638803,646172,652796,654451,661613,662532,671690,672854,669204,672104,677246,672554,674173,666162,649788,646611,654375,660438,666452,671305,666899,672493,680460,681818,683852,683617
"385","373","  Market-based PCE clothing and footwear","DCLMRX0",197395,199489,203074,203269,204669,209727,213251,214594,214675,212753,219832,222619,227385,231214,229534,234878,243386,245491,247123,247756,251786,257237,260042,262236,258019,259701,259393,263868,266862,266969,265314,273592,273659,280692,286940,287179,295398,291122,294524,301569,305783,312672,313235,322863,325729,324859,328745,333611,337746,338429,341443,341254,338314,347280,338579,326645,323900,317937,321178,324714,333965,339241,339601,349679,352368,354293,347120
"386","374","  Market-based PCE gasoline and other energy goods","DGOERX0",264040,266178,263202,263774,267342,269054,269136,268380,270145,273909,275113,276420,278768,283222,285895,287069,289000,295451,291891,293359,282848,288267,289507,287759,289025,285362,290696,291587,290568,294022,295691,295529,295921,299094,304736,307980,306471,306874,304932,305204,308866,305565,301596,299120,295108,295743,298562,298055,296545,294914,294866,291291,286277,282683,273410,280035,284861,281189,279291,279076,281768,282119,282683,278442,274167,268535,267518
"387","375","  Market-based PCE other nondurable goods","DNDXRX0",434442,440138,442116,446353,448706,456639,463061,472066,474771,477936,487738,493973,497740,504953,512774,522414,532440,535656,537757,559887,553390,566446,572838,582325,578466,583000,589684,597358,603324,602430,605783,613602,623608,628315,641829,651152,652274,658736,667178,672799,678486,683797,687116,694816,705041,709301,710694,724747,727992,730920,735604,736567,732721,740359,740356,726213,722140,714798,717272,723828,731744,740917,749494,759281,768036,773661,778201
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","376","  Market-based PCE services","DSEMRX0",3440882,3474915,3507951,3525577,3554980,3580147,3589559,3628918,3657315,3683979,3729697,3765408,3798049,3843792,3882734,3903443,3938751,3980195,4026433,4069812,4119231,4169159,4201733,4244700,4271260,4276379,4285959,4299278,4330301,4359007,4374003,4390443,4405266,4431596,4456946,4482036,4512479,4539311,4572760,4618975,4661416,4698891,4731190,4741756,4766606,4800729,4818097,4850128,4878552,4896669,4911323,4922939,4938733,4939153,4920591,4902689,4889059,4886387,4889239,4896939,4904941,4936864,4958904,4982835,4992136,5015012,5039506
"390",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","377","    Market-based PCE housing services","DHSMRX0",996853,1003549,1008971,1013966,1018262,1022816,1027817,1033403,1041275,1049958,1058477,1066864,1074916,1083344,1092647,1102486,1112736,1122331,1130865,1138324,1145277,1153659,1163499,1175180,1188083,1198636,1204206,1205395,1203932,1203297,1204412,1207288,1211561,1215555,1220213,1225062,1230021,1238643,1251284,1267898,1287713,1305332,1318816,1328410,1338270,1347017,1352639,1355219,1354430,1354066,1355886,1359618,1364483,1369036,1373703,1378501,1382843,1385786,1389063,1391781,1393237,1394663,1395041,1394887,1395804,1397157,1398614
"392","378","    Market-based PCE household utilities","DUTLRX0",209923,218038,225028,221246,229894,227675,219747,225465,221562,224084,223236,232397,225973,234157,235558,224280,229711,234178,240060,230580,228639,238471,240546,252330,246974,234974,235520,233123,234716,242274,243823,250494,249070,249089,244365,247755,249177,249725,245702,250759,250039,253895,258468,252317,239691,251846,258091,250233,252105,254464,257176,250671,256213,251727,242021,251640,251284,249778,251789,253940,254562,255274,264004,261206,254472,256017,265332
"393","379","    Market-based PCE health care","DHLCRX0",940372,944718,950403,954888,955314,964714,968297,980432,985708,991032,1001313,1010819,1023439,1028306,1033019,1033692,1035916,1040026,1048463,1058390,1064562,1078623,1085962,1097414,1113241,1125858,1142462,1160708,1183589,1200448,1209719,1216036,1220887,1223646,1230887,1237906,1246884,1260332,1276382,1286159,1302458,1306263,1312837,1314004,1327991,1332289,1329842,1341707,1356339,1360860,1364949,1373991,1385725,1395698,1401943,1402525,1409109,1421574,1429062,1432828,1424063,1438150,1446910,1462284,1464348,1474526,1472284
"394","380","    Market-based PCE transportation services","DTRSRX0",208708,211043,215529,220166,225642,229181,233028,237699,244466,247441,251212,252250,254539,257684,260611,263964,267645,270883,276239,279297,282932,285929,287667,288480,288562,287143,281765,276990,277758,275372,275081,275267,276231,274925,277455,278930,281672,284108,283925,285348,285595,286384,286883,284982,283681,285234,284941,287968,289227,288997,287760,285608,281617,276552,270120,259709,251846,248460,246186,245894,247624,249904,251557,251643,251353,251241,251423
"395","381","    Market-based PCE recreation services","DRCMRX0",182628,187410,189375,191504,191994,193869,195740,195007,196341,197146,198446,201433,204207,205152,207929,209000,210229,212254,215559,216694,216966,219234,218991,219586,220565,218005,216531,215936,216696,216113,215405,217320,217216,218666,221361,224876,226696,229954,231224,232356,234113,233726,235514,237848,237822,241086,242342,246988,250102,253559,255698,255633,258006,257224,253525,249370,247710,245977,243801,245614,245982,250799,256204,256592,254022,261241,269055
"396","382","    Market-based PCE food services and accommodations","DFSMRX0",405625,406305,406847,406051,406115,408190,408799,412584,416759,416625,421171,418175,422938,428265,429891,436030,434499,437152,438934,449458,456916,460987,462617,461064,464539,459904,457328,456660,463491,467152,468008,468701,472043,481164,489506,494498,499961,500694,505411,510496,513937,520938,524262,529344,538084,534133,537186,545183,543620,544294,545225,550455,543784,546347,540707,533143,525655,520411,519424,520069,531206,537137,541340,546304,555730,557188,560860
"397","383","    Market-based PCE financial services and insurance","DFIMRX0",43800,46164,48263,48986,52503,52934,51746,53591,53983,53854,59343,59107,59300,66211,72017,74748,79105,84408,88391,97713,109955,108598,110456,115466,111415,109765,105148,109738,110469,112947,115529,112890,110552,116719,119300,117921,119357,114278,112353,116433,114763,119314,122310,122883,125880,126670,125870,126474,129917,131607,134052,132810,131965,127237,129107,124697,123966,125599,127121,124202,122061,121156,112701,112388,114696,110036,114433
"398","384","    Market-based PCE other services","DOTMRX0",475162,479100,483951,488444,493070,498345,502317,507905,513907,520960,530388,539438,547559,552585,560587,566256,574599,583191,591566,599596,610937,622141,630479,634028,636797,640947,642338,639913,639005,641549,642266,643315,648422,652311,653918,655328,658968,661906,666539,669635,672810,673030,672046,672020,676075,682625,687030,696554,703232,709316,711076,714838,717387,715963,711309,703949,697788,690380,684548,684073,687339,690691,690983,697165,701578,707064,707058
"399",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","385","      Market-based PCE communication services","DCOMRX0",86440,88034,90370,92574,94444,96818,98254,100449,103171,105292,109132,112492,114276,115722,119319,121531,124946,130746,136018,139731,144784,151954,156399,158821,160060,163321,164822,164663,165714,168204,167870,168101,169600,171241,172384,172485,174971,178439,180984,181846,182644,184235,185056,185658,189352,193196,195989,202130,205886,211665,213636,217204,220667,219641,217559,214741,215176,213863,211371,213135,216753,220011,220894,226027,229781,232424,231977
"401","386","      Market-based PCE education","DTEDRX0",152028,152680,153125,154122,155260,156593,158364,159332,160237,160955,162212,163638,165105,166026,166660,168213,169121,169788,170516,172046,173841,175447,177333,178713,179787,180476,179598,178505,176467,175376,175863,174478,174444,174779,174209,173430,172331,170753,169528,169696,170297,170115,170279,170680,171024,171321,171116,172592,173117,173893,174409,175260,175210,175778,176858,176571,176874,176460,176714,177256,178520,179507,180201,180972,182081,182804,183515
"402","387","      Market-based PCE professional services","DPRMRX0",113529,113322,113615,113789,115169,115563,115925,116748,115786,117401,118312,119625,122038,122140,122959,123280,126141,126303,126301,126574,126928,126958,128397,128452,130111,131041,132302,131995,131342,131264,131384,132897,135995,137313,136758,136689,136773,135465,137096,138553,140043,138769,136920,135825,135607,137370,137987,138830,140552,140034,139051,138273,138360,138429,136983,135252,132018,129515,127946,125916,125681,125203,124970,124698,124315,124432,123631
"403","388","      Market-based PCE personal care and clothing services","DPERRX0",73687,74402,75148,75958,76402,76689,76952,77771,78948,80088,81292,82517,83702,84794,85814,86720,87513,88462,89661,91064,92521,93518,93947,93765,93075,92625,92598,92974,93681,94344,94947,95461,95495,95817,96625,97780,98935,100095,101037,101757,102256,102514,102624,102546,102854,103420,103964,104441,104081,103726,103412,103109,102658,101898,100812,99364,97221,95740,95051,95170,94005,94703,94482,95115,95138,96756,96845
"404","389","      Market-based PCE child care","DCHCRX0",22720,22800,22388,22090,21917,21829,21507,21716,21830,21973,22132,21973,21695,21660,21988,22135,22593,22671,22577,22674,22825,22884,22846,23273,23529,23631,23918,23784,23799,23836,23827,23880,23819,23844,24036,24283,24115,24240,24398,23980,24057,23990,23732,23958,23929,23963,24287,24873,25336,25621,25891,26028,25803,25848,25481,25163,25362,25227,24950,25084,25372,24847,24116,24296,24385,24434,24229
"405","390","      Market-based PCE household maintenance","DHMMRX0",45380,45912,46418,46287,45881,46242,46543,46589,47682,48575,49630,50777,52289,53532,54201,54361,53645,53020,52972,53336,55016,55027,54672,53910,53185,52418,51366,50118,49678,49725,49677,49648,50098,50221,50641,51317,52242,53029,53469,53776,53514,53398,53436,53360,53368,53468,53855,54017,54713,55211,55657,56228,56322,55890,54941,54009,52402,50791,49446,48598,48386,48097,48070,48423,48664,49303,49852
"406","391","Market-based PCE food and energy","DPMFRX0",969153,975453,980165,979099,992698,994075,984550,991320,992921,994685,998196,1008137,1002412,1018697,1025973,1019517,1033455,1048388,1057299,1059280,1042518,1066100,1069998,1086533,1079910,1069089,1071498,1070748,1068712,1079653,1084835,1096869,1099740,1095902,1103117,1105326,1113010,1110757,1109656,1122675,1134109,1134999,1142765,1139699,1123330,1142762,1152834,1152995,1154327,1151342,1156789,1151441,1146728,1139301,1111021,1112887,1113660,1117195,1123983,1132024,1140429,1137201,1152167,1152407,1142072,1138592,1145695
"407","392","Market-based PCE excluding food","DMXFRX0",4698091,4745710,4801755,4836891,4876977,4939571,4964937,5027696,5078051,5103525,5199940,5266397,5317015,5416064,5483682,5570913,5632716,5722132,5791498,5872377,5960982,6017363,6074709,6133188,6167247,6173888,6207518,6318721,6345401,6387775,6439415,6457769,6483737,6569079,6660382,6708304,6766036,6796923,6861837,6940907,7004866,7088118,7139467,7135067,7209915,7249340,7290141,7355113,7406640,7440377,7475043,7490961,7465928,7471153,7398574,7295931,7284951,7257194,7309478,7315394,7364786,7430691,7483082,7560320,7603214,7613578,7650314
"408","393","Market-based PCE excluding energy","DPMERX0",4849204,4885632,4936942,4976821,5009562,5074898,5105982,5165342,5221054,5239007,5337084,5393945,5447321,5539433,5606827,5704779,5766723,5852919,5923175,6018444,6108423,6160468,6215060,6269455,6304675,6328824,6355643,6467508,6490477,6524505,6575334,6593027,6624153,6700388,6797148,6834501,6897334,6924483,6998550,7079395,7148696,7230631,7288954,7300866,7396366,7430056,7462483,7545988,7598838,7628671,7663678,7695940,7666064,7683062,7625644,7484723,7466060,7451059,7508716,7518535,7569153,7629559,7677840,7771658,7829202,7847936,7876462
"409","394","Market-based PCE excluding food and energy","DPCXRX0",4303987,4342744,4393669,4431077,4461288,4523827,4555734,4613139,4664872,4685525,4780019,4836642,4890324,4977745,5041233,5135043,5190273,5270612,5335760,5421943,5517398,5560794,5614483,5663010,5700246,5720399,5749242,5859954,5885376,5918407,5966809,5979350,6006294,6088039,6178027,6219302,6275708,6305637,6375367,6448877,6509871,6591831,6642781,6648065,6741905,6768451,6799944,6874302,6925983,6959509,6991616,7018688,6993548,7008912,6959646,6835341,6819928,6796656,6848203,6851832,6897601,6962789,7005435,7091301,7147655,7164333,7193273
"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","1. Consists of gasoline and other energy goods and of electricity and gas srvices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
