"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"244","216","    Consumption of general government fixed capital (181)","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","242,353.0","259,530.0"
"245","217","  Excluding imputations (207-208)","A2026C1","93,996.0","82,162.0","68,348.0","51,762.0","50,012.0","59,567.0","66,519.0","76,694.0","84,379.0","78,587.0","84,539.0","93,646.0","117,710.0","150,007.0","182,220.0","199,382.0","200,328.0","198,133.0","220,523.0","245,044.0","243,258.0","269,252.0","311,390.0","327,273.0","345,002.0","343,330.0","375,088.0","394,402.0","414,731.0","418,101.0","453,959.0","470,084.0","484,893.0","521,650.0","550,189.0","591,727.0","642,558.0","705,662.0","744,347.0","814,541.0","878,718.0","922,115.0","1,000,231.0","1,100,363.0","1,232,588.0","1,330,754.0","1,444,760.0","1,613,517.0","1,796,021.0","2,028,694.0","2,266,661.0","2,454,402.0","2,751,152.0","2,835,199.0","3,062,663.0","3,424,788.0","3,658,796.0","3,851,758.0","4,089,260.0","4,403,429.0","4,739,444.0","4,995,988.0","5,127,612.0","5,408,106.0","5,678,919.0","6,044,194.0","6,341,327.0","6,719,095.0","7,159,418.0","7,551,255.0","8,010,891.0","8,505,583.0","8,755,864.0","9,044,279.0","9,486,083.0","10,102,971.0","10,750,632.0","11,418,615.0","11,981,117.0","12,216,594.0"
"246","218","Personal income","A065RC1","84,938.0","76,140.0","65,238.0","49,851.0","46,798.0","53,657.0","60,322.0","68,618.0","74,072.0","68,377.0","72,861.0","78,447.0","96,048.0","123,407.0","152,118.0","165,958.0","171,643.0","178,630.0","190,872.0","209,685.0","206,973.0","228,855.0","257,898.0","275,216.0","291,658.0","294,296.0","315,998.0","339,466.0","358,543.0","368,919.0","392,341.0","411,255.0","428,809.0","456,413.0","479,503.0","514,322.0","555,499.0","603,780.0","648,072.0","711,687.0","778,327.0","838,579.0","903,097.0","992,638.0","1,110,545.0","1,222,744.0","1,334,861.0","1,474,655.0","1,632,503.0","1,836,727.0","2,059,527.0","2,301,516.0","2,582,276.0","2,766,817.0","2,952,169.0","3,268,868.0","3,496,687.0","3,696,026.0","3,924,366.0","4,231,243.0","4,557,472.0","4,846,723.0","5,031,501.0","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,238.0","10,485,882.0","11,268,077.0","11,894,075.0","12,238,789.0"
"247","219","  Imputations","A2106C1","5,346.0","4,783.0","4,040.0","3,219.0","2,764.0","2,564.0","2,919.0","3,046.0","3,335.0","3,274.0","3,290.0","3,352.0","3,978.0","5,102.0","6,567.0","7,555.0","8,278.0","7,392.0","7,113.0","8,174.0","8,426.0","9,410.0","11,062.0","12,357.0","13,887.0","14,895.0","15,650.0","16,444.0","17,354.0","18,315.0","19,953.0","21,557.0","22,966.0","24,455.0","25,298.0","26,785.0","28,273.0","30,263.0","32,160.0","34,108.0","37,993.0","42,094.0","45,787.0","49,448.0","52,283.0","58,969.0","70,719.0","75,589.0","81,872.0","94,659.0","102,313.0","112,398.0","123,943.0","139,753.0","172,668.0","178,189.0","198,974.0","210,042.0","225,792.0","248,662.0","264,374.0","295,322.0","331,767.0","386,393.0","429,406.0","466,408.0","466,849.0","493,848.0","512,814.0","560,029.0","620,578.0","672,580.0","718,290.0","741,401.0","761,131.0","804,433.0","820,516.0","798,300.0","827,487.0","915,581.0"
"248","220","    Food furnished to employees, including military and domestic service (171)","B1160C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"249","221","    Standard clothing issued to military personnel (172)","BMICRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"250","222","    Employees' lodging (173)","A2641C1","183.0","173.0","155.0","133.0","123.0","128.0","137.0","139.0","147.0","149.0","148.0","160.0","175.0","215.0","257.0","264.0","274.0","289.0","309.0","327.0","309.0","284.0","279.0","266.0","262.0","240.0","227.0","231.0","243.0","250.0","371.0","352.0","338.0","321.0","301.0","284.0","273.0","265.0","256.0","249.0","248.0","251.0","258.0","255.0","257.0","268.0","270.0","277.0","293.0","312.0","326.0","342.0","353.0","341.0","342.0","344.0","337.0","330.0","530.0","562.0","563.0","531.0","568.0","521.0","462.0","468.0","600.0","664.0","605.0","597.0","632.0","750.0","712.0","579.0","567.0","542.0","571.0","499.0","411.0","352.0"
"251","223","    Employer contributions for health and life insurance (174)","B4922C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","614.0","762.0","1,030.0","1,320.0","1,476.0","1,737.0","1,919.0","2,267.0","2,726.0","3,206.0","3,588.0","4,009.0","4,454.0","4,880.0","5,407.0","5,885.0","6,663.0","7,541.0","8,244.0","8,905.0","10,792.0","12,331.0","14,537.0","16,123.0","18,666.0","20,826.0","23,832.0","28,554.0","35,131.0","42,078.0","49,737.0","56,444.0","65,142.0","76,031.0","87,276.0","96,333.0","105,179.0","115,558.0","123,472.0","132,320.0","148,725.0","165,271.0","184,126.0","199,824.0","223,690.0","242,871.0","255,096.0","252,292.0","255,443.0","259,463.0","280,251.0","311,791.0","348,429.0","378,542.0","404,390.0","442,108.0","476,463.0","511,677.0","523,771.0","544,003.0","557,560.0"
"252","224","    Farm products consumed on farms (167)","A2051C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,745.0","1,351.0","1,237.0","1,371.0","1,291.0","1,163.0","1,012.0","917.0","856.0","789.0","804.0","637.0","577.0","553.0","480.0","434.0","384.0","389.0","385.0","331.0","324.0","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","398.0","383.0","310.0","289.0","288.0","275.0","244.0","253.0","213.0","217.0","173.0","193.0","166.0","146.0","125.0","115.0","103.0","101.0","111.0","136.0","139.0","153.0","148.0","148.0"
"253","225","    Margins on owner-built housing (179)","B1173C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","243.0","296.0","247.0","239.0","209.0","262.0","185.0","175.0","166.0","167.0","231.0","228.0","275.0","302.0","370.0","390.0","352.0","342.0","397.0","447.0","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","3,025.0","2,682.0"
"254","226","    Owner-occupied housing (139-136)","A2028C1","2,851.0","2,532.0","2,177.0","1,783.0","1,393.0","1,146.0","1,174.0","1,234.0","1,353.0","1,540.0","1,607.0","1,623.0","1,813.0","2,140.0","2,456.0","2,759.0","2,986.0","3,017.0","2,972.0","3,238.0","3,639.0","4,264.0","4,922.0","5,917.0","7,029.0","7,959.0","8,394.0","8,617.0","9,059.0","9,599.0","10,537.0","11,469.0","12,174.0","13,001.0","13,481.0","13,605.0","13,926.0","14,443.0","14,910.0","14,542.0","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,807.0","10,416.0","10,889.0","13,627.0","15,499.0","12,725.0","11,107.0","10,280.0","7,920.0","3,552.0","5,508.0","13,243.0","15,819.0","19,218.0","25,705.0","40,639.0","64,480.0","88,256.0","95,627.0","108,961.0","111,809.0","126,934.0","143,521.0","150,541.0","163,372.0","155,706.0","144,938.0","138,149.0","113,813.0","81,302.0","63,206.0","120,310.0"
"255","227","    Depositor financial services furnished without payment and premium supplements (147+160-164)","W570RC1","869.0","789.0","626.0","473.0","406.0","390.0","465.0","529.0","576.0","529.0","529.0","573.0","603.0","632.0","668.0","709.0","751.0","1,009.0","1,085.0","1,106.0","1,122.0","1,223.0","1,291.0","1,399.0","1,837.0","2,025.0","2,368.0","2,641.0","2,673.0","2,663.0","2,911.0","3,220.0","3,410.0","3,536.0","3,413.0","4,021.0","4,231.0","4,651.0","5,225.0","5,577.0","7,564.0","9,479.0","10,669.0","11,778.0","12,468.0","15,213.0","22,522.0","21,043.0","23,023.0","26,720.0","26,331.0","25,251.0","23,691.0","30,789.0","55,426.0","52,855.0","65,736.0","72,987.0","78,228.0","76,799.0","73,209.0","81,598.0","96,167.0","110,937.0","110,984.0","111,403.0","107,510.0","117,519.0","129,349.0","140,667.0","152,412.0","160,833.0","163,370.0","167,856.0","159,782.0","174,565.0","178,003.0","175,241.0","202,256.0","220,423.0"
"256","228","  Excluding imputations (218-219)","A2107C1","79,592.0","71,357.0","61,198.0","46,632.0","44,034.0","51,093.0","57,403.0","65,572.0","70,737.0","65,103.0","69,571.0","75,095.0","92,070.0","118,305.0","145,551.0","158,403.0","163,365.0","171,238.0","183,759.0","201,511.0","198,547.0","219,445.0","246,836.0","262,859.0","277,771.0","279,401.0","300,348.0","323,022.0","341,189.0","350,604.0","372,388.0","389,698.0","405,843.0","431,958.0","454,205.0","487,537.0","527,226.0","573,517.0","615,912.0","677,579.0","740,334.0","796,485.0","857,310.0","943,190.0","1,058,262.0","1,163,775.0","1,264,142.0","1,399,066.0","1,550,631.0","1,742,068.0","1,957,214.0","2,189,118.0","2,458,333.0","2,627,064.0","2,779,501.0","3,090,679.0","3,297,713.0","3,485,984.0","3,698,574.0","3,982,581.0","4,293,098.0","4,551,401.0","4,699,734.0","4,960,869.0","5,138,742.0","5,408,408.0","5,734,062.0","6,097,730.0","6,487,928.0","6,965,347.0","7,290,255.0","7,886,853.0","8,165,002.0","8,318,696.0","8,616,994.0","9,132,805.0","9,665,366.0","10,469,777.0","11,066,588.0","11,323,208.0"
"257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","1. Residential dwellings owned and used by nonprofit institutions serving households are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","included in owner-occupied housing categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","2. Includes financial services furnished without payment to government employee retirement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","3. Classified as a service in exports, and as an income payment to the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","4. Classified as a service in exports, and as an income receipt from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","5. For general government employees, recorded as compensation of employees (wages and salaries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","and as a sale; does not affect government consumption expenditures. Similar payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","employees of government enterprises are not included in government consumption expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","they are deducted in the calculation of the surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","6. Health insurance premiums paid by employers are included in the calculation of the ""net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","health insurance"" category of personal consumption expenditures (PCE); life insurance premiums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","paid by employers are included in the calculation of the ""life insurance"" category of PCE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","7. Consists of the programs for which a social insurance fund is imputed, and for which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","contributions are set equal to benefits paid.  These payments are funded directly out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","of the current budget.  The specific programs consist of workers' compensation, unemployment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","insurance, and medical services for the dependents of active duty military personnel at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","nonmilitary facilities.  Source data are not available for the corresponding treatment for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","similar state and local government programs.  Similar payments for employees of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","government enterprises are not included in government consumption expenditures; they are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","deducted in the calculation of the surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","8. Consists of owner-occupant purchases of new single-family dwellings, including manufactured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","homes, expenditures on improvements, and payments of commissions on new and existing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","residential dwellings, less sales of dwellings to government.  The series is calculated from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","the investment data prepared as part of BEA's capital stock estimates. It differs from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","investment data shown in table 5.4.5 because the series shown in that table reflect total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","purchases by private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
