"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"373","364","  PCE food and energy","DPFERX0",1148138,1164671,1174534,1176665,1158059,1184098,1188302,1206612,1199129,1187078,1189412,1188435,1186236,1197926,1203448,1217548,1218844,1216951,1226372,1232282,1241125,1242447,1241936,1255729,1272346,1271480,1278250,1287768,1273407,1290167,1299684,1307651,1315224,1307668,1307137,1296381,1296562,1292797,1260231,1259910,1267184,1267691,1268483,1275006,1285847,1280836,1290822,1303641,1295764,1283937,1286780,1275117,1256902,1281782,1287872,1272500,1293659,1292068,1289543,1300466,1314837,1301035,1290470,1299989,1316438,1314165,1318790,1304334
"374","365","  PCE energy goods and services \1\","DNRGRX0",492733,503763,507616,495851,482636,499687,502916,514866,508911,489687,494545,491204,491649,503709,506308,514807,509400,508381,505760,513887,515319,516071,509129,515189,520392,516576,516902,517736,501336,510253,517433,515142,521075,517576,516418,503781,506808,500780,481079,496603,505833,500319,496476,495903,500047,500453,506971,508565,499428,489188,494237,485385,467089,488808,493681,479093,493187,494658,488620,495142,507177,495006,486579,496734,514773,506726,510873,496852
"375","366","  PCE excluding food","DPXFRX0",6964189,7070124,7151833,7256125,7382368,7449607,7527153,7593326,7630195,7646772,7679091,7805068,7832688,7874693,7931646,7972009,8004768,8102334,8221437,8291898,8372437,8430732,8512520,8599579,8659824,8758997,8826287,8853730,8958023,9002549,9057754,9147301,9197991,9235639,9279394,9288827,9271675,9285287,9222815,9121470,9089404,9039126,9093933,9085582,9131698,9217803,9279205,9370759,9419555,9440497,9488278,9524711,9584446,9601437,9628214,9656193,9715350,9754933,9795067,9882614,9915907,10017874,10111580,10227807,10277469,10369764,10452737,10510701
"376","367","  PCE excluding energy","DPXERX0",7140946,7244356,7327922,7448957,7577521,7641177,7716749,7779496,7818535,7854883,7880955,8009207,8033880,8068215,8125147,8164329,8205969,8302403,8432569,8494711,8580267,8638221,8731029,8820007,8886440,8991746,9065184,9100470,9226238,9268500,9317847,9420916,9467137,9504964,9550953,9578050,9553081,9577656,9529929,9388826,9345305,9305988,9369213,9368840,9417684,9498342,9556269,9657912,9719755,9752985,9791620,9837572,9923243,9914224,9936063,9983582,10031972,10066732,10118984,10203528,10223661,10340970,10444233,10548098,10577686,10683109,10762516,10832687
"377","368","  PCE excluding food and energy \2\","DPCCRX0",6487619,6584095,6661598,6772003,6905734,6959414,7033373,7089217,7130025,7161547,7189412,7315589,7342359,7375153,7429088,7462384,7498606,7595487,7714847,7777953,7856443,7913595,8000616,8081828,8137162,8239354,8306289,8332889,8454985,8489989,8537496,8629761,8674440,8715975,8761175,8785016,8763772,8784943,8747664,8625649,8583895,8538755,8597280,8589584,8631653,8717762,8772406,8862534,8922183,8955831,8997774,9045697,9128931,9119258,9140396,9186853,9229404,9267714,9315530,9396151,9415222,9532992,9637797,9743310,9774582,9874624,9953546,10024772
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",6768094,6870236,6950401,7048180,7138732,7209761,7272757,7341874,7375107,7385168,7417386,7536978,7560537,7604569,7663169,7689316,7719602,7819354,7936199,7998722,8074296,8119953,8197409,8283138,8350308,8441897,8509687,8527307,8612445,8657512,8711870,8800560,8852881,8881847,8922286,8934403,8907622,8926023,8843643,8715434,8694425,8669093,8729982,8728510,8774784,8839356,8901542,9004582,9051203,9073203,9108826,9153716,9208416,9246085,9275485,9300344,9360299,9388092,9429213,9502344,9542956,9632739,9707635,9818206,9870559,9954454,10029686,10074105
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",288567,308138,309262,301786,326614,303604,308063,307981,316874,309193,314996,368708,340010,344147,371412,346357,343269,361428,371527,365906,371405,366208,371240,374567,361980,379247,384490,334132,347618,347622,352950,351748,357428,361264,356448,355477,335822,320989,304777,269265,277015,278975,313739,281084,277368,290902,296182,312185,312603,295485,295383,313040,321884,323261,327213,334984,341739,341406,341146,343187,346720,360923,366164,369488,366762,374487,378348,371881
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",354799,365979,380255,396013,410380,418220,425108,429239,433201,437513,442432,459215,473770,479727,482707,491895,494817,518314,545627,562567,576126,585614,599283,610156,628800,644895,654478,672258,700574,699611,708055,722857,732743,743210,758565,765157,751245,764078,747339,707382,700711,693391,708270,722671,740152,757434,768750,785380,799316,812715,826693,840268,862602,869248,884080,900343,918641,927438,940735,952535,957043,984453,1002528,1019580,1031988,1049887,1071509,1094811
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",656906,663706,669720,680418,674014,684372,685646,692678,690579,695547,693510,695036,692675,694095,696964,703031,708607,707634,718459,717176,724194,724811,730493,738279,749635,752457,758949,767942,771210,778623,780338,791262,792773,788780,789458,792711,788883,792310,781889,762879,761054,766788,771485,778928,785755,780210,783490,795044,797246,796844,793630,791767,794317,794943,795634,796672,802368,798814,803187,807132,808263,807971,806601,805148,803495,808938,809507,808533
"385","373","  Market-based PCE clothing and footwear","DCLMRX0",240368,242447,244059,244684,248664,254047,256817,258985,254820,256481,256177,260597,263544,263605,262022,270185,269214,276427,282522,283196,290386,287022,290014,295850,299841,306133,305292,314361,316239,314026,317298,320601,322651,322460,324999,323751,321185,330691,323818,311835,308045,302269,305478,308399,315435,320635,321407,331572,334470,337691,332509,335095,340642,335238,340699,337563,342208,344426,342340,343463,340963,346857,349163,355431,354459,360128,361290,361085
"386","374","  Market-based PCE gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280155,273070,272692,271463,267052,272860,272371,267766,272194,274348,275749,276615,276274,274896,275127,280766,284807,284482,288132,286129
"387","375","  Market-based PCE other nondurable goods","DNDXRX0",589995,593432,595536,619885,612439,626880,633667,643942,639511,644308,651603,659901,665789,663840,667012,675630,685992,693258,709188,721111,721773,730775,739663,744172,750602,756907,760783,771752,787247,793901,796905,812971,816180,819196,822583,821867,818595,828874,829845,815712,812536,802594,805329,810142,815494,822698,831019,839796,847949,856046,858134,862154,872691,871329,871208,878982,890999,893660,903509,913004,917482,934695,948426,956162,957998,972770,992163,1002421
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","376","  Market-based PCE services","DSEMRX0",4439565,4485008,4536786,4586169,4643054,4700105,4737239,4785398,4814537,4819307,4829004,4842744,4876517,4907969,4925471,4944527,4962230,4995623,5029308,5063319,5101986,5136776,5176735,5228085,5260297,5305488,5353154,5368681,5389249,5427975,5457337,5493523,5524238,5543629,5568963,5577705,5599037,5602666,5584161,5567687,5543989,5539842,5542764,5548513,5562719,5586516,5618305,5660678,5684077,5710769,5740842,5752619,5766736,5795077,5802515,5806727,5815723,5832213,5848497,5893867,5924179,5956714,5996775,6069888,6110887,6146494,6175597,6201137
"390",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","377","    Market-based PCE housing services","DHSMRX0",1245532,1255384,1264815,1273837,1282923,1293347,1304941,1318118,1332243,1343679,1349559,1350559,1348626,1347678,1348758,1351875,1356931,1362220,1369714,1378445,1387514,1399267,1413453,1430131,1449080,1466975,1481468,1493265,1503250,1510934,1516663,1520177,1521419,1523405,1527428,1533306,1540824,1547571,1553720,1559250,1563683,1567348,1573001,1579397,1582051,1584624,1589440,1596335,1605415,1614694,1620976,1625522,1627224,1627583,1627770,1627839,1628095,1629956,1633679,1639351,1646616,1653234,1658617,1662855,1666454,1670258,1674207,1678104
"392","378","    Market-based PCE household utilities","DUTLRX0",269706,274951,281858,270727,268448,279992,282428,296264,289975,275886,276527,273714,275575,284459,286269,294103,292075,291511,285566,289234,290959,291296,286213,291769,291026,294520,299946,294021,279683,292559,298218,287060,295034,295732,297049,285673,292731,291625,280619,290717,289612,289898,287703,290476,294423,291277,296404,299872,292365,289252,295829,285954,269092,287141,293363,281315,291887,290159,280539,286771,301004,288169,277770,282157,295568,287870,287868,276408
"393","379","    Market-based PCE health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1680036,1688193,1687178,1705950,1728325,1723444,1728198,1727923,1723025,1739796,1748989,1763676,1753954,1778517,1801016,1832923,1853761,1867535,1884046,1900820
"394","380","    Market-based PCE transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290180,293497,295983,296857,293920,300051,301979,300836,304462,308043,311153,311136,317420,320557,326152,331279,334003,339767,342865,344651
"395","381","    Market-based PCE recreation services","DRCMRX0",233036,235200,238781,239908,240097,242512,242171,242789,243844,240972,239280,238639,239328,238661,237889,240041,239997,241604,244504,248264,250038,253360,254636,255599,257387,256930,258861,261266,261380,264909,266421,271124,275138,277331,280244,280200,281220,281190,278893,275349,272268,269898,269172,272623,274732,273974,277831,281939,279705,284461,288444,286734,285969,291549,289943,295198,294523,293018,297693,298020,303976,300836,304830,308171,304424,305943,307143,311308
"396","382","    Market-based PCE food services and accommodations","DFSMRX0",493502,496500,498509,510485,518968,523582,525400,523579,527473,522119,519103,518253,526037,530031,530947,531673,535410,545503,554865,560535,566676,567390,572535,578383,581476,589733,593549,599349,607960,604152,607461,616728,613809,615262,615906,621563,613280,616827,610669,601090,590092,584149,582595,582102,588107,592927,596522,601255,606654,607442,610430,613249,620441,623765,627132,631844,636651,631204,633098,643491,641683,652420,659040,669163,673600,685616,688676,696207
"397","383","    Market-based PCE financial services and insurance","DFIMRX0",79750,85096,89112,98510,110852,109483,111357,116408,112323,110660,106005,110633,111422,113960,116707,114205,109469,114200,116367,115598,118513,114840,113625,117197,115216,119436,122183,122419,125174,125550,124681,125122,127658,129160,130085,130004,128723,125450,126824,124182,123737,126165,127652,124880,121932,121599,114006,115077,116781,115039,119315,117178,115916,116297,108114,110308,111917,111299,109974,110890,110460,111204,113103,113785,112379,112763,114129,114878
"398","384","    Market-based PCE other services","DOTMRX0",651607,660972,670246,679172,691891,704257,713425,716845,719208,723222,724217,720731,719031,721231,722703,724169,730190,735716,738760,740748,744630,747984,752959,755831,759797,760610,760403,761746,767098,775015,781087,793809,801731,806458,809125,813919,816557,816975,814473,805410,792074,782756,780736,784792,790970,795066,799074,803821,812865,818163,822632,820961,825117,824822,825964,830895,824792,828300,832842,839814,848310,851011,855488,868702,869967,875818,875884,877739
"399",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","385","      Market-based PCE communication services","DCOMRX0",122566,127991,132989,136454,141265,148039,152132,153980,154507,157141,158130,157374,157905,159909,159460,159833,161492,163299,164771,164978,167389,171153,174014,175206,176463,178651,179843,180652,184449,188493,192240,200171,204931,209078,211974,216604,220291,221997,223278,220652,217774,216331,217102,220212,223482,225719,228332,230582,237826,242389,247103,245484,248755,251297,253540,258461,254360,256046,260004,261953,268731,269771,273286,280808,280429,284411,282820,282819
"401","386","      Market-based PCE education","DTEDRX0",212244,213080,213995,215914,218168,220183,222549,224282,225629,226494,225392,224020,221463,220093,220705,218968,219037,219531,218854,217883,216575,214551,212992,213213,213973,213824,214188,214823,215511,216138,216004,217820,218460,219316,219753,220321,220086,220346,221228,220190,219513,218736,219581,221606,223581,224590,225390,226240,226300,225578,224489,224332,224172,221130,219653,218554,219113,218866,217170,217153,217735,216987,216442,219042,219655,220461,220405,220792
"402","387","      Market-based PCE professional services","DPRMRX0",147397,147587,147585,147904,148318,148352,150034,150098,152037,153124,154597,154237,153490,153356,154333,156273,158964,160732,160509,160550,160452,158696,159967,160607,162039,160429,158773,158472,158460,160613,161533,162578,164132,163401,162273,161276,160979,160795,158975,156753,152566,149602,148004,145979,146257,146351,146467,145829,146089,146488,146351,146155,146520,145474,145206,143787,141863,143242,143687,146829,145377,145257,145206,146875,147378,147282,147110,147741
"403","388","      Market-based PCE personal care and clothing services","DPERRX0",101254,102350,103747,105392,107111,108309,108862,108719,107998,107494,107420,107757,108406,109015,109632,110136,110889,111753,112965,114362,115607,116865,117890,118698,119299,119563,119664,119497,119867,120533,121097,121526,120999,120516,120147,119869,119449,118576,117311,115650,111929,109548,108692,109380,110415,112293,113099,114389,115816,115947,116515,116447,117096,118691,118984,120472,120057,120133,121766,123580,125773,127444,129059,130353,131127,132765,134214,134728
"404","389","      Market-based PCE child care","DCHCRX0",26930,27024,26911,27026,27207,27277,27232,27741,28046,28167,28510,28350,28368,28412,28400,28464,28381,28409,28638,28930,28724,28866,29046,28539,28617,28543,28241,28501,28481,28544,28941,29621,30128,30458,30781,30959,30729,30770,30314,29890,30024,29985,30000,30721,30599,29807,29441,29590,29416,29868,29818,29874,29744,29622,29640,29795,29647,29603,29973,29764,29946,29913,29900,29986,30148,29824,29814,29793
"405","390","      Market-based PCE household maintenance","DHMMRX0",60101,59511,59560,60067,62030,62141,61842,61089,60377,59633,58596,57365,57032,57207,57235,57220,57829,58090,58645,59461,60548,61451,61987,62349,62168,62024,61961,62021,62166,62192,62402,62698,63409,63849,64246,64804,64867,64347,63276,62227,60268,58561,57356,56889,56633,56316,56399,57311,57819,58535,59334,59565,59947,60132,60763,62213,61791,62626,62975,63396,64298,65417,65825,66396,65838,66125,66364,66636
"406","391","Market-based PCE food and energy","DPMFRX0",1147661,1164204,1174098,1176259,1157661,1183725,1187929,1206259,1198800,1186786,1189132,1188120,1185917,1197577,1203096,1217205,1218531,1216661,1226102,1232024,1240813,1242141,1241608,1255400,1272002,1271125,1277864,1287392,1272983,1289693,1299219,1307178,1314845,1307323,1306803,1296025,1296167,1292417,1259877,1259532,1266790,1267289,1268073,1274634,1285472,1280476,1290481,1303328,1295482,1283659,1286504,1274835,1256646,1281536,1287602,1272164,1293216,1291527,1288942,1299853,1314284,1300520,1289958,1299470,1315869,1313608,1318236,1303775
"407","392","Market-based PCE excluding food","DMXFRX0",6113712,6208932,6283023,6370209,6466385,6527274,6588775,6650901,6685978,6691253,6725282,6842996,6868748,6911257,6966885,6987120,7011964,7112270,7218311,7281893,7350461,7395396,7467134,7545079,7601073,7689646,7750960,7759924,7841595,7879420,7931890,8009808,8060469,8093151,8132802,8141725,8118716,8133726,8061726,7952579,7933404,7902251,7958454,7949645,7989146,8059128,8118008,8209522,8253907,8276289,8315137,8361936,8414099,8451159,8479879,8503706,8557961,8589360,8626101,8695303,8734798,8824945,8901325,9013581,9067763,9146261,9221070,9266585
