"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"367","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1155,1144,1133,1122,1111,1100,1089,1077,1066,1054,1043,1031,1019,1006,993,978,962,946,929,911,892,873,853,832,811,790,769,749,729,710,691,672,654,636,618,601,584,569,556,545,536,528,522,517,514,512,512,512,532,548,561,571,582,594,607,620,633,646,658,671,683,695,706,717,727,736,744,752,758,764,768,771,772,774,779,785,793,803,815,828,844,862,879,898,916,937,958,982,1006,1031,1057,1084,1113,1143,1174,1206,1240,1269,1294,1315,1330,1339,1343,1343,1337,1327,1310,1287,1256,1229,1207,1188,1172,1157,1144,1133,1126,1121,1113,1102,1087,1075,1066,1061,1057,1056,1056,1057,1057,1057,1065,1080,1100,1110,1110,1099,1096,1101,1114,1123,1129,1132,1134,1133,1132,1135,1144,1158,1162,1158,1145,1131,1115,1098,1093,1099,1117,1120,1108,1082,1070,1072,1089,1108,1128,1151,1167,1178,1184,1188,1190,1224,1247,1259,1230,1211,1202,1202,1203,1203,1204,1205
"368","360","      Services of social advocacy establishments to households","DSASRX0",2023,2036,2044,2047,2055,2074,2087,2097,2111,2127,2144,2135,2117,2096,2084,2078,2077,2074,2078,2082,2079,2073,2057,2052,2063,2069,2074,2066,2060,2049,2038,2029,2019,2012,2001,2005,2003,2012,2011,2009,1993,1982,1994,2028,2065,2093,2114,2139,2167,2190,2217,2240,2264,2287,2307,2313,2317,2319,2323,2318,2300,2284,2264,2262,2275,2291,2294,2293,2282,2271,2254,2229,2224,2250,2289,2300,2289,2281,2276,2281,2293,2318,2359,2402,2428,2434,2434,2458,2500,2535,2558,2569,2585,2605,2617,2612,2604,2620,2644,2652,2647,2641,2653,2671,2685,2696,2704,2721,2748,2761,2768,2766,2770,2786,2805,2813,2808,2798,2777,2763,2743,2741,2740,2741,2742,2757,2779,2792,2792,2773,2779,2802,2850,2879,2884,2862,2848,2853,2865,2890,2910,2931,2946,2961,2967,2984,3014,3058,3081,3073,3036,2994,2952,2918,2908,2926,2963,2971,2947,2885,2870,2923,2995,3062,3110,3164,3195,3223,3203,3201,3212,3292,3362,3406,3306,3254,3226,3251,3265,3267,3264,3267
"369","361","      Civic and social organizations' services to households","DCISRX0",7005,7009,7003,6962,6937,6946,7002,7062,7071,7042,7037,7046,7055,7059,7043,7078,7115,7146,7164,7103,7120,7097,7140,7109,7160,7115,7085,7090,7084,7078,7092,7083,7054,7035,7027,7029,7036,7058,7075,7085,7098,7108,7124,7161,7211,7268,7306,7346,7298,7272,7261,7267,7268,7268,7268,7264,7263,7253,7246,7239,7220,7205,7182,7154,7123,7084,7082,7100,7100,7029,6895,6762,6685,6720,6776,6796,6736,6654,6584,6559,6564,6548,6565,6573,6578,6558,6536,6513,6512,6515,6512,6495,6475,6459,6459,6465,6470,6485,6491,6487,6472,6454,6443,6438,6414,6388,6342,6294,6237,6210,6191,6193,6178,6168,6151,6161,6172,6220,6213,6194,6110,6065,6024,6017,5984,5951,5927,5901,5866,5801,5807,5863,6000,6064,6064,5986,5950,5942,5972,5991,6014,6010,5998,5970,5920,5902,5912,5950,5968,5952,5882,5782,5701,5628,5636,5713,5861,5909,5854,5712,5734,5806,5942,6003,6131,6250,6392,6418,6419,6438,6441,6644,6774,6858,6705,6612,6484,6636,6700,6688,6657,6610
"370","362","      Professional advocacy services to households","DSNRRX0",29724,29830,29903,29829,29690,29581,29489,29417,29279,29194,29193,29166,29007,29047,29101,29098,28865,28656,28551,28447,28360,28278,28313,28223,27977,27979,27942,27822,27745,27665,27733,27751,27636,27454,27218,26999,26912,26848,26946,26975,26848,26699,26714,26697,26740,26701,26704,26891,26902,26895,26900,26963,26981,27086,27155,27123,27192,27207,27358,27299,27137,27043,26757,26662,26686,26893,26988,27164,27279,27218,26983,26716,26568,26867,27073,27135,26986,26824,26657,26707,26732,26922,27162,27293,27419,27336,27303,27320,27504,27626,27653,27574,27554,27538,27491,27489,27581,27718,27847,27879,27866,27842,27856,27777,27676,27662,27591,27682,27630,27654,27735,27806,27831,27938,27988,28050,28140,28241,28196,28158,27973,28013,28073,28204,28143,28050,27969,27884,27756,27364,27259,27295,27442,27492,27471,27269,27183,27143,27175,27186,27235,27266,27236,27159,26997,26994,27026,27117,27282,27268,27112,26827,26608,26560,26656,26927,27250,27362,27203,27005,26943,26982,27340,27471,27566,27651,27759,27928,27781,27833,27857,28451,28619,28668,28192,27813,27845,28074,28390,28626,28772,28692
"371",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","363","  Control Group","DCGPRX0",1748166,1770628,1782975,1783135,1800022,1804357,1803831,1825630,1844779,1849224,1865049,1914323,1865602,1884247,1913668,1919267,1926395,1930926,1929284,1941363,1963660,1962841,1962357,1973924,1971060,1961418,1950381,1972929,1985544,1973652,1988136,2004874,1970655,2009222,2023378,2038974,2046273,2050324,2050473,2054476,2052578,2067994,2067494,2065506,2067693,2088544,2102790,2111313,2116190,2102997,2130065,2140450,2151961,2188728,2207451,2234801,2237785,2242049,2266826,2265177,2275387,2275760,2308880,2298805,2307892,2300922,2324440,2332788,2349423,2354843,2357166,2383859,2392744,2424527,2409393,2443391,2425238,2457958,2448002,2467074,2463667,2500932,2503998,2513481,2549463,2559748,2557144,2566666,2565014,2568786,2576595,2580004,2601380,2613966,2616197,2650530,2652919,2636242,2659134,2649216,2665467,2664678,2681600,2684699,2679810,2681009,2699831,2686258,2674167,2655571,2664067,2683274,2702236,2704251,2693568,2666872,2618419,2592713,2583620,2554933,2578307,2570603,2536799,2545342,2555801,2553405,2563471,2579802,2585510,2593702,2605306,2624325,2621213,2646872,2659442,2667136,2664177,2679199,2674618,2702885,2708323,2725747,2752982,2750561,2755212,2762772,2775103,2787589,2780262,2795057,2794609,2801156,2806914,2829328,2835642,2815271,2835961,2863656,2871196,2872547,2880148,2874155,2902196,2904224,2918851,2918351,2932605,2947873,2953167,2963677,2970720,2979665,2993942,3001474,3016274,3025242,3040913,3058923,3059993,3064380,3046534,3052584
"373","364","  PCE food and energy","DPFERX0",1147055,1142174,1155186,1161102,1163681,1169228,1176863,1171996,1174744,1172882,1155429,1201683,1154891,1160155,1159130,1175652,1184025,1192617,1181806,1190459,1192640,1190811,1197016,1232009,1202365,1195741,1199280,1191201,1192630,1177402,1193159,1184384,1190693,1194641,1179031,1191632,1179502,1185958,1193249,1186246,1205392,1202140,1206252,1203861,1200230,1215432,1219917,1217294,1227236,1222294,1207001,1229515,1213990,1207349,1220505,1235032,1223580,1229102,1236107,1231638,1248700,1241893,1232783,1246046,1243803,1237494,1235748,1237914,1252145,1253431,1255260,1258496,1276321,1263173,1277545,1268859,1270261,1275320,1278293,1285481,1270976,1282792,1286613,1293900,1250218,1286144,1283859,1283688,1299443,1287371,1310619,1292386,1296048,1316975,1306191,1299788,1317220,1329226,1299227,1329537,1296835,1296631,1305851,1308122,1307440,1286023,1299048,1304072,1294485,1285196,1310006,1301716,1291920,1284756,1267857,1261001,1251837,1264140,1263927,1251663,1266730,1254404,1280417,1272375,1269816,1260880,1257133,1273827,1274490,1279847,1255854,1289318,1284778,1296170,1276594,1267068,1287587,1287853,1282078,1296626,1293763,1290917,1305893,1314114,1305523,1291314,1294029,1289913,1287890,1289418,1301531,1288031,1284969,1293187,1284606,1263748,1268247,1277108,1272317,1299964,1297157,1296146,1308864,1295396,1300331,1295764,1289236,1271396,1291104,1314971,1331362,1311524,1305463,1308619,1299512,1293195,1318418,1301524,1321286,1317986,1330473,1329203
"374","365","  PCE energy goods and services \1\","DNRGRX0",495854,484063,498281,500255,500629,510405,515854,505356,501638,506113,480244,501196,489613,485299,472998,490888,503911,504261,496419,506759,505570,497696,505516,541384,507439,506202,513092,494309,493065,481687,500705,490016,492914,500563,482928,490121,484828,492085,498035,496427,510258,504441,506251,507119,505555,517072,515352,511998,518505,512877,496816,520064,509202,495877,502089,513808,501383,509144,515817,516699,521444,520062,504450,517941,518098,512175,508090,506624,512672,515417,515888,514261,527123,509255,524798,515002,518225,516502,521158,522953,506596,512680,517544,522984,483973,509394,510640,506092,516652,508014,527380,509266,515652,527180,516699,501546,520508,534708,508010,538578,507508,506642,512158,519572,517524,497998,506358,506987,504637,499432,516353,510388,500835,491118,483348,481269,478619,495791,500192,493826,506604,492626,518270,508436,500428,492093,487233,503502,498692,503204,479734,504770,503260,504677,492204,487553,506200,507607,505908,508797,506210,501875,509465,514355,506929,493880,499967,490233,491619,490425,502083,489917,491088,495137,484867,475469,470335,477414,472353,493273,491010,492027,499750,489098,489407,483906,481549,465427,480646,498954,513555,502908,491357,493907,483683,479815,497592,483500,498538,489890,502956,504649
"375","366","  PCE excluding food","DPXFRX0",6935189,6971269,7007283,7047909,7081692,7118335,7132946,7171865,7202941,7220043,7253650,7329697,7335417,7405397,7442893,7429824,7469315,7479291,7490363,7532304,7593989,7586610,7593746,7634488,7630239,7643642,7635353,7631674,7663629,7667486,7683710,7728610,7640127,7840299,7798044,7778687,7814577,7847505,7843257,7890883,7851862,7893591,7941143,7954581,7914059,7935416,7954093,8010892,8019929,7976061,8017237,8071369,8094499,8142704,8179544,8256038,8225014,8245375,8302194,8314490,8346602,8367918,8402524,8404864,8457487,8420584,8478947,8493276,8554236,8570676,8582121,8635975,8633574,8661439,8685287,8756873,8709480,8799777,8860738,8820267,8778958,8798848,8851913,8891003,8929456,8950982,8973958,8987627,8994054,9005613,9051862,9027353,9079891,9114782,9129788,9169732,9185233,9194469,9203657,9225091,9237012,9232201,9245477,9284253,9281338,9270982,9292301,9281337,9278280,9251218,9264799,9283228,9287346,9270464,9230830,9231448,9172074,9138548,9123560,9076702,9116831,9077648,9052129,9034657,9037997,9030229,9061234,9160534,9050476,9071535,9069957,9112537,9099794,9116779,9171716,9189817,9215903,9238389,9251812,9287835,9299849,9350054,9382540,9388285,9398616,9415761,9456087,9452646,9454362,9467590,9501628,9501470,9536177,9572449,9572017,9580479,9606740,9662756,9662398,9689646,9688730,9686798,9721816,9713772,9752127,9742232,9781364,9790209,9799130,9824661,9855471,9868375,9871858,9889690,9898601,9927277,9944230,9973905,10027576,10011555,10020533,10044333
"376","367","  PCE excluding energy","DPXERX0",7107938,7153823,7182060,7224253,7259055,7286863,7300201,7348524,7386616,7395978,7450479,7535007,7517905,7597913,7652910,7627325,7654360,7671091,7684672,7717750,7782608,7786196,7786244,7800503,7823953,7833071,7816943,7835958,7871005,7879852,7879455,7932435,7845910,8035870,8005945,7987571,8019694,8047646,8041440,8084690,8042680,8089332,8137059,8146960,8106031,8123188,8147855,8206433,8213669,8174575,8228554,8264740,8291003,8352967,8391450,8461717,8440796,8453342,8505239,8511971,8551299,8568541,8620642,8612626,8662573,8630213,8693719,8712499,8775790,8788511,8800830,8860742,8851879,8899703,8908578,8990208,8938170,9036030,9090679,9053269,9032707,9050946,9097790,9133232,9211436,9214631,9232940,9256249,9255265,9273579,9300221,9298333,9340844,9372801,9398582,9463681,9457169,9448927,9484736,9470086,9517714,9514515,9524941,9549836,9550875,9562705,9578444,9571105,9563302,9538359,9536825,9561012,9578365,9578845,9540332,9539063,9476039,9412181,9387704,9340883,9371060,9345728,9297487,9290596,9306450,9306407,9343892,9426931,9327274,9344187,9368329,9391330,9377450,9403332,9465468,9483736,9491086,9510890,9522058,9566945,9581725,9638902,9670241,9673295,9691561,9724236,9753024,9769145,9765082,9783108,9801626,9816953,9845689,9881360,9896991,9905754,9949865,9998867,10006112,10012231,10013888,10008396,10039048,10041748,10085179,10084055,10122303,10151168,10144579,10151381,10164196,10182128,10206857,10222476,10246147,10277448,10278784,10324609,10364056,10365252,10356006,10374533
"377","368","  PCE excluding food and energy \2\","DPCCRX0",6457542,6499854,6526282,6564708,6597466,6626948,6637629,6682673,6715711,6729541,6780322,6840489,6854308,6926268,6972531,6946362,6975683,6985219,7002075,7035433,7097143,7096101,7096927,7108829,7131318,7145329,7131629,7142797,7175380,7188449,7189332,7241579,7152114,7343479,7314411,7290555,7329177,7356563,7348368,7396216,7348049,7393114,7438470,7450996,7412259,7424830,7444343,7502477,7506187,7467213,7521241,7556032,7587221,7644627,7676239,7742580,7721916,7735764,7786549,7797947,7825793,7847987,7895158,7886384,7938313,7906800,7968180,7983659,8038898,8052801,8063783,8118922,8105047,8148808,8158388,8238741,8188582,8279873,8336075,8293781,8270108,8283127,8331210,8364886,8444825,8439317,8461102,8479645,8474477,8495438,8520181,8516210,8561928,8585025,8610555,8666054,8662041,8656668,8693996,8682170,8728531,8724620,8731776,8762562,8762001,8773791,8785610,8773757,8773415,8752225,8744924,8770778,8786850,8782452,8752637,8756263,8699733,8643810,8624122,8583308,8610780,8584515,8534755,8526526,8537358,8537877,8574003,8656804,8551490,8567768,8591278,8607018,8596067,8611691,8680377,8703446,8709739,8730768,8746013,8779112,8794008,8849296,8873497,8873536,8892338,8924878,8958177,8966787,8966748,8981614,9001386,9016455,9050143,9081817,9094188,9114395,9147285,9195299,9201441,9202992,9204922,9201744,9227860,9232470,9270906,9267872,9310482,9339235,9329604,9332747,9345675,9372110,9389597,9404747,9426062,9459682,9455083,9502294,9538410,9532710,9525780,9547796
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",6733321,6770165,6800796,6837373,6871336,6901998,6913492,6951518,6986194,6998001,7027342,7119197,7083674,7149451,7183072,7185584,7213875,7229823,7227723,7263583,7326965,7320135,7328018,7377470,7371207,7383039,7371075,7360944,7393403,7401157,7416126,7460846,7375186,7571710,7528081,7511144,7538242,7571142,7572228,7610663,7579367,7623676,7670572,7685950,7632985,7659328,7681612,7727007,7725317,7695340,7738149,7792342,7810453,7855266,7890161,7972130,7946307,7958630,8016202,8021333,8056602,8063889,8102397,8105201,8146906,8107752,8168694,8182780,8240752,8257639,8267226,8324549,8321236,8359878,8369810,8438777,8400915,8486000,8549023,8508904,8471135,8487049,8527967,8566904,8592585,8615902,8628849,8648989,8657935,8665612,8712544,8684205,8738861,8777834,8786593,8837253,8847021,8851292,8860330,8876378,8887585,8881577,8897460,8936653,8932745,8918815,8946570,8937824,8924216,8884991,8913658,8923942,8935719,8918408,8874567,8864877,8791484,8744833,8718708,8682761,8722578,8692611,8668087,8663776,8676874,8666627,8699416,8793118,8697412,8716039,8708261,8761230,8745446,8767823,8811083,8815160,8840335,8862573,8868323,8912247,8924055,8972941,9014572,9026232,9032251,9043407,9080840,9087686,9084647,9096354,9122118,9119840,9146554,9193653,9199535,9183209,9215879,9274396,9283481,9311391,9310912,9306031,9344940,9343136,9382506,9372158,9416694,9418954,9437443,9465285,9494091,9498165,9505142,9522317,9526144,9545842,9576789,9600360,9653603,9644002,9659983,9679663
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",284215,290071,291416,301650,307959,314804,308869,310513,308403,297867,300854,306637,320668,336719,322455,303066,307311,300434,298367,305846,319977,312967,305782,305195,303429,328557,318635,297458,306388,323732,308707,324629,311651,417359,367579,321188,333400,344883,341747,362675,325745,344021,375853,391178,347204,335647,338110,365315,348608,335744,345456,363735,359252,361295,362484,386992,365104,358615,372769,366335,371786,370088,372340,364149,386191,348282,367043,365040,381637,374288,369421,379990,358451,361322,366166,385900,359182,392658,441223,370204,342042,316749,335079,350567,354385,342189,346280,350169,342099,350599,365926,342433,350493,349748,350140,355354,353763,363432,355090,356525,368216,359052,346798,355199,367347,364598,354113,347720,342469,334769,330227,324819,323288,314862,291727,320878,301727,270933,268321,268539,284063,272534,274450,265929,285098,285897,305394,368020,267801,277142,283022,283089,271573,262596,297936,289742,291143,291822,295967,296479,296098,315724,307792,313039,317132,312696,316034,308936,299172,292549,301446,294358,308957,318659,318815,322961,324870,330504,327232,327553,322666,325179,323035,329617,341073,330495,349099,346658,347815,349351,345957,343583,348897,354027,351835,359778,345221,346345,368470,347328,348455,347566
