"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"330","322","        Domestic services","DDMSRX0",20353,20502,20647,20680,20719,20819,20834,20869,20870,20892,20884,20856,20878,20877,20853,20819,20746,20661,20547,20500,20396,20292,20213,20109,20527,20733,20882,20975,21152,21311,21513,21688,21886,22158,22312,22544,22997,23356,23724,24070,24310,24308,24468,24581,24603,24606,24439,24152,23707,23447,23120,22730,22534,22263,22182,22159,22173,22096,22176,22529,23529,23766,24005,23844,23735,23667,23678,23537,23472,23431,23230,22919,23511,23032,22650,22970,22862,22577,22428,22183,21915,21588,21277,20936,21076,21266,21231,21437,21607,21698,21752,21872,21809,21930,21993,22091,22657,22815,23013,22997,23112,23068,23175,23268,23365,23361,23449,23508,23604,23718,23812,23844,23921,23969,23935,23945,24072,24130,24121,24149,24022,23924,23873,23886,23867,23883,23916,23986,23970,23939,23898,23871,24061,24212,24307,24359,24525,24713,24744,24940,25050,24711,24854,24993,25214,25412,25612,25713,25882,26095,26200,26338,26461,26491,26473,26362,26326,26091,26114,26097,26109,26153,26123,26100,26060,26137,26238,26295,26312,26398,26422,26497,26599,26655,26718,26793,26867,26930,26995
"331","323","        Moving, storage, and freight services","DMSERX0",11607,11757,11882,11891,11938,12015,12234,12185,12269,12263,12251,12163,11995,12068,12102,12180,12425,12538,12723,12739,12806,12886,12926,13258,13417,13565,13706,13839,13963,14080,14185,14284,14371,14448,14511,14562,14672,14711,14750,14792,14836,14881,14926,14974,15023,15071,15120,15168,15217,15266,15319,15378,15441,15508,15581,15657,15738,15821,15907,15996,16089,16160,16211,16244,16254,16244,16214,16162,16090,15995,15878,15740,15581,15420,15265,15112,14963,14817,14671,14530,14392,14254,14117,13981,13851,13729,13616,13516,13426,13349,13283,13227,13182,13146,13120,13103,13097,13106,13132,13178,13243,13331,13440,13567,13711,13876,14061,14265,14473,14686,14886,15076,15257,15424,15576,15716,15845,15957,16049,16129,16194,16259,16330,16404,16481,16563,16647,16734,16825,16916,17008,17104,17050,17012,16989,16982,16991,17018,17062,17120,17196,17288,17393,17516,17655,17771,17864,17936,17987,18016,18024,18008,17971,17909,17822,17711,17557,17433,17325,17229,17147,17075,17019,16974,16941,16920,16909,16910,16864,16818,16771,16726,16680,16636,16593,16550,16508,16466,16423
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2740,2729,2717,2701,2686,2670,2653,2637,2619,2603,2582,2558,2547,2534,2521,2506,2492,2477,2461,2446,2431,2418,2400,2378,2364,2353,2345,2340,2337,2337,2340,2346,2354,2365,2378,2394,2413,2428,2441,2451,2458,2462,2463,2461,2456,2448,2437,2423,2405,2387,2369,2353,2337,2322,2307,2293,2280,2266,2253,2241,2229,2215,2199,2181,2162,2140,2117,2092,2065,2036,2006,1974,1940,1908,1877,1847,1819,1793,1767,1743,1719,1697,1676,1656,1637,1620,1604,1590,1578,1568,1559,1551,1546,1541,1538,1537,1537,1535,1532,1528,1523,1517,1510,1502,1492,1481,1469,1456,1439,1426,1415,1405,1397,1391,1386,1383,1382,1382,1383,1386,1391,1395,1398,1400,1402,1404,1404,1404,1404,1402,1400,1397,1392,1387,1382,1376,1370,1365,1359,1352,1346,1340,1333,1326,1319,1311,1302,1294,1284,1275,1265,1255,1244,1233,1221,1209,1195,1184,1173,1164,1156,1149,1144,1139,1136,1133,1132,1132,1126,1120,1113,1107,1101,1095,1090,1084,1078,1072,1067
"333","325","        Repair of household appliances","DERERX0",3561,3692,3774,3815,3830,3904,3935,3962,4001,4021,4033,3988,3985,4014,4063,4130,4183,4271,4344,4416,4429,4481,4561,4663,4693,4721,4747,4772,4795,4816,4836,4855,4871,4886,4898,4907,4914,4920,4924,4927,4930,4931,4931,4930,4927,4923,4918,4910,4902,4892,4882,4873,4864,4856,4848,4840,4832,4824,4815,4806,4798,4786,4773,4758,4742,4724,4704,4682,4658,4632,4604,4574,4543,4512,4482,4453,4425,4398,4372,4347,4323,4299,4276,4254,4234,4215,4199,4186,4176,4169,4165,4164,4166,4171,4178,4187,4200,4211,4220,4229,4238,4247,4255,4263,4269,4275,4279,4281,4277,4277,4275,4274,4271,4267,4262,4255,4247,4239,4228,4217,4204,4193,4187,4185,4187,4192,4201,4213,4229,4249,4272,4300,4334,4365,4393,4420,4445,4468,4488,4506,4522,4535,4545,4553,4558,4560,4562,4562,4561,4559,4556,4552,4546,4539,4530,4519,4501,4489,4479,4470,4463,4457,4452,4449,4448,4448,4448,4450,4445,4439,4433,4428,4422,4417,4412,4407,4402,4398,4392
"334","326","        Other household services","DMHSRX0",8422,8455,8473,8440,8421,8425,8530,8448,8464,8403,8368,8297,8191,8207,8182,8161,8257,8258,8297,8224,8180,8167,8080,8152,8117,8093,8081,8081,8092,8114,8148,8194,8250,8319,8397,8488,8550,8648,8742,8833,8920,9004,9083,9160,9231,9298,9360,9416,9468,9514,9557,9598,9635,9669,9699,9726,9748,9767,9780,9788,9792,9796,9802,9811,9821,9833,9848,9864,9882,9902,9923,9945,9968,9993,10021,10055,10090,10129,10172,10218,10268,10321,10377,10435,10500,10551,10591,10623,10644,10656,10657,10648,10629,10598,10557,10503,10439,10383,10335,10297,10270,10255,10251,10256,10269,10292,10324,10364,10400,10445,10489,10533,10576,10615,10652,10688,10722,10754,10782,10808,10831,10847,10860,10870,10877,10878,10876,10869,10858,10843,10821,10795,10718,10655,10603,10564,10539,10526,10526,10539,10565,10602,10652,10715,10791,10859,10919,10973,11021,11062,11097,11124,11145,11158,11163,11159,11135,11124,11115,11108,11103,11100,11099,11100,11104,11108,11114,11120,11119,11117,11114,11113,11111,11110,11109,11109,11110,11110,11109
"335","327","      Net foreign travel","DFORRX0",-29577,-21023,-20089,-28863,-29218,-17413,-31754,-30803,-35085,-31440,-33603,-35807,-30525,-25111,-33337,-29689,-37196,-35726,-23132,-25297,-25915,-40413,-40782,-36280,-31086,-29493,-31051,-29574,-29591,-29410,-27688,-27561,-27144,-27250,-22585,-21758,-21234,-18685,-15319,-19221,-16868,-12665,-9463,-10895,-9487,-11723,-13028,-18299,-13685,-13791,-12179,-11519,-14060,-15478,-14831,-14126,-16742,-14602,-15035,-12509,-15414,-13609,-6828,-16078,-7128,-7308,-5067,-5293,-4764,-4108,-5407,-7251,-7617,-6668,-8821,5547,4415,429,105,-1569,-1115,-4231,-4557,-4084,881,1776,-979,-188,-2257,-318,-4135,-12000,-5628,-7356,-10628,-5918,2333,-377,100,-687,-6135,-2531,362,957,-2866,-5736,-6719,-5418,1388,-1976,-4033,-5662,-1196,-647,-4444,-2286,-4101,-3390,-4989,-4814,-3161,-4198,-4402,-7459,-9533,-8776,-6966,-4984,-4435,-4585,-678,-2168,-3998,144,1086,1132,322,2019,182,-808,-2089,-2135,-3413,-4400,-1358,136,-5793,-3173,-5725,-5115,-11029,-13067,-14200,-20783,-22305,-23647,-17346,-15573,-22207,-19499,-26481,-27662,-30660,-29907,-22906,-21732,-14275,-19669,-17123,-17136,-14513,-13890,-17035,-13194,-11995,-11074,-14840,-15365,-16174
"336","328","        Foreign travel by U.S. residents (129)","DFTRRX0",74553,73196,72753,73749,71242,70441,71076,71147,72765,73525,74257,75467,73518,77866,75939,74063,76994,74079,75174,76852,74969,76950,77535,76258,81190,80449,80749,79493,80669,82025,82749,84079,85900,82958,87100,86373,90292,90217,90203,94768,92678,93815,95139,94766,95485,95352,92798,92420,94661,94836,98379,95588,95095,94911,95338,95661,94625,100544,102636,93136,99076,104381,107839,104123,107128,108876,108800,106943,108545,108199,109341,108273,107411,107551,108298,117405,113263,111050,110954,109307,79548,75323,83113,89090,95117,98341,98002,94645,94052,96725,92018,85584,91307,95326,94586,99924,98312,94377,89463,80623,82135,87592,93046,94965,92885,94777,95624,97404,99499,99064,96683,97658,100204,101894,98737,98081,96666,97701,97637,98992,99938,100695,100591,100523,99003,99316,97231,97931,100181,99061,100465,102213,101428,102155,103877,104983,105471,105024,104919,102772,103475,105234,105035,104907,104015,103150,102636,104570,103272,104150,103973,104033,103274,101494,99652,98031,101600,104004,101123,100053,99438,94587,94259,95623,96420,99200,101614,99869,98030,95417,93223,94773,89563,93002,97084,99297,95154,94850,94177
"337","329","          Passenger fares for foreign travel","DAFTRX0",29354,27534,27072,28261,27665,26492,28444,28320,28832,28343,28794,29121,27956,29273,28911,28186,30481,29288,28857,29653,29163,30867,31060,30224,31657,31484,31591,31653,31688,32277,32653,33129,34233,32675,34118,33792,34614,34456,34033,37598,36703,36483,37812,37489,37454,36366,36250,36194,39918,39383,39892,38399,37411,36927,36704,37024,36467,39631,40093,37646,38285,40196,42491,40683,43417,43534,44112,43331,43643,42669,42760,40967,41711,42737,42640,45542,43692,44547,44938,42910,30322,25822,28386,31457,34995,37239,37304,37013,35659,35803,33905,30773,32469,37078,34764,37431,38487,37186,34742,32140,31934,35463,37146,37556,37309,38377,39321,39201,41185,41254,41118,41012,41651,43453,41055,40512,39733,41124,40971,41108,42090,42894,42715,43350,42412,43235,42217,43211,44405,42529,43982,43830,43201,44848,45621,46855,46820,47687,46792,46214,46405,47519,47258,46890,46387,46082,45271,47996,47220,48186,47785,47376,46914,44428,43669,42831,45028,48076,45894,46639,45589,41604,41844,41581,41899,40969,40783,38217,38072,36831,36585,38516,36821,38289,40873,42225,38840,39022,38537
"338","330","          U.S. travel outside the United States","DUSTRX0",43834,44064,44022,44053,42247,42519,41474,41632,42701,43803,44083,44920,44042,47004,45473,44320,45120,43383,44775,45676,44314,44733,45116,44618,48012,47428,47595,46325,47400,48147,48473,49305,50054,48634,51304,50855,53836,53860,54216,55322,54100,55381,55387,55305,56043,56959,54580,54242,52916,53541,56483,55128,55548,55798,56405,56402,55913,58727,60340,53329,58529,61890,63052,61080,61338,62931,62261,61146,62387,62972,63991,64770,63058,62067,62903,69126,66817,63594,63076,63554,46365,46811,52011,54799,57179,58056,57624,54431,55282,57902,55105,51839,55857,54837,56498,59045,56163,53489,51086,44835,46653,48487,52280,53814,51937,52763,52634,54550,54592,54058,51799,52887,54788,54671,53875,53753,53126,52797,52881,54057,53948,53863,53938,53281,52734,52271,51244,50907,51827,52334,52092,53935,53866,52947,53906,53730,54236,52869,53638,52099,52711,53518,53663,53918,53470,52866,53157,52341,51801,51699,51876,52321,52031,52711,51651,50867,52244,51665,50949,49230,49658,48783,48251,49768,49964,53412,55912,56988,55293,54000,52034,51629,48095,50073,51618,52496,51616,51128,50942
"339","331","          U.S. student expenditures","DUSSRX0",1461,1527,1558,1437,1383,1353,1339,1348,1368,1404,1430,1456,1494,1515,1530,1528,1535,1539,1544,1548,1552,1547,1552,1559,1598,1629,1652,1667,1687,1714,1748,1769,1777,1772,1790,1833,1902,1954,1985,1996,2016,2048,2091,2110,2105,2074,2067,2083,2123,2159,2193,2223,2253,2282,2310,2325,2327,2316,2319,2336,2368,2406,2450,2502,2543,2574,2594,2624,2663,2713,2753,2783,2803,2830,2864,2906,2927,2927,2905,2937,3022,3164,3260,3299,3276,3272,3284,3315,3332,3334,3322,3353,3429,3554,3656,3734,3785,3797,3769,3701,3662,3654,3674,3683,3679,3664,3666,3687,3722,3747,3759,3756,3763,3780,3806,3816,3807,3780,3785,3824,3896,3930,3928,3887,3846,3805,3765,3818,3961,4208,4384,4475,4395,4350,4340,4365,4394,4427,4465,4437,4341,4179,4102,4100,4169,4216,4241,4244,4258,4282,4317,4327,4312,4271,4246,4237,4239,4225,4192,4139,4098,4069,4052,4168,4424,4852,5125,5198,5063,4978,4939,4949,4957,4963,4986,5003,5014,5018,5022
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",104130,94219,92843,102612,100460,87855,102830,101950,107850,104964,107860,111274,104043,102977,109276,103752,114190,109805,98306,102149,100884,117363,118317,112539,112276,109941,111800,109067,110259,111435,110437,111640,113044,110208,109685,108131,111525,108901,105522,113989,109546,106480,104602,105662,104971,107074,105826,110718,108346,108627,110558,107107,109155,110388,110169,109786,111367,115146,117671,105644,114489,117990,114666,120201,114256,116184,113867,112236,113309,112308,114748,115524,115028,114220,117118,111858,108849,110621,110848,110875,80663,79554,87670,93174,94237,96565,98981,94833,96310,97043,96152,97584,96935,102682,105214,105842,95979,94754,89363,81310,88270,90123,92685,94008,95750,100512,102343,102822,98111,101040,100716,103320,101400,102541,103181,100367,100767,101091,102626,103805,103099,104893,104994,107981,108536,108092,104197,102915,104616,103646,101143,104381,105426,102011,102791,103851,105149,103005,104737,103580,105564,107370,108448,109308,105373,103014,108430,107743,108997,109265,115002,117099,117474,122277,121958,121678,118945,119578,123330,119552,125919,122248,124919,125530,119326,120932,115889,119538,115153,112553,107736,108664,106598,106196,109079,110372,109994,110216,110351
"341","333","          Foreign travel in the United States","DFTURX0",88664,79213,77883,87190,85127,73120,87259,86408,92034,89408,92189,95440,88512,87486,93462,88186,98091,93869,82822,86415,85285,100992,101920,96438,96229,94014,95776,93127,94250,95379,94454,95545,96756,93822,93195,91686,95015,92538,89294,97356,93044,90052,88197,89181,88510,90541,89329,93979,91624,91850,93694,90398,92354,93497,93214,92792,94276,97890,100306,88756,97254,100601,97378,102629,96876,98684,96423,94762,95641,94470,96727,97517,97217,96523,99309,94146,91193,92892,93145,93088,63628,62243,69977,75336,76543,78912,81296,77205,78595,79256,78324,79724,79149,84902,87435,88034,78272,77029,71738,63864,70805,72732,75388,76826,78692,83555,85481,86029,81412,84368,84092,86729,84874,86073,86782,84057,84545,84968,86576,87809,87137,88941,89022,91953,92466,92005,88118,86868,88618,87722,85277,88552,89632,86238,87035,88102,89423,87311,89097,87931,89854,91542,92560,93418,89511,87162,92615,91884,93150,93463,99320,101325,101406,105761,105146,104792,102222,102938,106721,102832,109211,105505,108220,108819,102511,104029,98948,102852,98731,96311,91495,92489,90389,89979,92927,94241,93837,94048,94173
"342","334","          Medical expenditures of foreigners","DMEFRX0",1439,1451,1458,1449,1450,1453,1456,1460,1466,1463,1480,1506,1566,1596,1617,1616,1627,1638,1647,1656,1666,1673,1683,1694,1711,1724,1734,1741,1748,1757,1766,1774,1781,1786,1793,1802,1811,1818,1823,1827,1833,1842,1854,1859,1858,1851,1861,1889,1935,1966,1981,1979,1979,1980,1984,1988,1994,2000,2010,2024,2042,2056,2066,2071,2074,2074,2071,2080,2101,2134,2125,2073,1980,1926,1908,1922,1928,1927,1919,1918,1923,1934,1921,1884,1825,1784,1760,1753,1746,1741,1736,1731,1726,1721,1720,1722,1729,1737,1745,1754,1759,1760,1756,1754,1752,1752,1752,1752,1750,1750,1750,1750,1749,1747,1745,1745,1747,1752,1750,1743,1731,1762,1837,1960,2041,2067,2032,2014,2013,2028,2037,2041,2038,2037,2038,2040,2040,2039,2036,2035,2035,2036,2037,2037,2037,2036,2036,2035,2035,2035,2035,2034,2034,2033,2033,2035,2035,2037,2037,2036,2035,2033,2031,2032,2037,2045,2038,2015,1978,1950,1931,1925,1921,1920,1925,1928,1931,1932,1934
"343","335","          Expenditures of foreign students in the United States","DEFSRX0",13282,13320,13346,13317,13340,13382,13509,13524,13497,13331,13276,13248,13250,13235,13244,13269,13311,13361,13476,13565,13451,13461,13429,13373,13298,13266,13272,13319,13333,13317,13270,13342,13512,13808,13971,13993,13877,13820,13823,13889,13952,14013,14070,14106,14119,14108,14119,14150,14204,14230,14230,14207,14221,14273,14362,14427,14465,14477,14474,14457,14427,14429,14464,14535,14599,14659,14715,14834,15017,15263,15395,15405,15290,15247,15278,15381,15446,15473,15460,15558,15768,16089,16261,16273,16125,16041,16020,16066,16120,16180,16247,16245,16174,16032,15971,15987,16082,16118,16096,16018,15920,15810,15681,15547,15399,15243,15126,15048,14989,14945,14898,14849,14795,14732,14662,14581,14488,14382,14304,14254,14233,14192,14136,14067,14030,14022,14046,14033,13983,13894,13828,13788,13757,13734,13717,13709,13687,13653,13605,13613,13678,13799,13862,13868,13814,13788,13792,13828,13827,13787,13711,13814,14098,14560,14839,14908,14735,14659,14659,14733,14777,14788,14768,14780,14827,14906,14875,14734,14464,14290,14207,14176,14159,14156,14164,14173,14184,14197,14208
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (130)","DNPIRX0",142503,139457,138881,141386,141321,142079,141878,141506,143303,144065,144967,146176,147649,151185,151023,150428,151085,153810,153518,153158,152131,151446,149488,146225,143331,139462,139811,139614,139664,140304,137634,140235,141332,139673,141705,143921,144575,146218,148344,149169,150906,153009,154830,156334,158282,160119,162132,163178,162853,162703,163303,163380,164249,164831,165089,165579,165598,165822,167820,168684,171824,172893,173659,172880,173699,174100,178326,179971,181482,184159,185399,185719,185148,185785,187296,189156,189880,190398,191356,192744,194586,195945,196607,197976,199311,199975,201785,203178,205291,206513,210180,213236,214940,215831,218649,219693,219157,217084,216611,218859,221300,221336,221635,219980,218455,220284,219530,217912,219923,219895,220317,219090,217980,217163,216694,217204,217039,218425,218937,217099,214027,213780,212490,212709,213534,214743,213391,212782,212141,214289,216972,218049,220185,222492,225676,227733,232561,236009,241154,243647,244603,243230,243938,243544,242666,240941,239414,236591,236212,238254,242852,246118,248739,254519,256544,255532,257996,261217,262445,262183,262126,262237,264619,268437,272189,277074,277243,271907,264509,257009,256570,252589,251545,251903,253743,257923,257866,253710,254018
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",632756,631350,633760,632742,635656,635955,634815,637808,638211,640471,640229,643500,643924,641149,647621,649572,649461,655506,653576,655387,657650,660899,661373,664884,660808,656295,656363,657530,659650,661716,662576,666369,667571,668080,671935,676676,681343,685367,688107,689271,691699,694865,698515,701390,704321,706614,708729,710473,711383,713292,715328,715859,717015,718681,720853,722952,724581,727523,731153,732978,734609,736610,739620,741210,744108,747141,749705,752761,755356,759039,762861,764872,768208,770312,774215,776740,779099,781594,786303,790256,792844,797030,800756,806273,811451,815300,819115,824006,827729,832200,835114,839391,840654,842053,843150,843156,842852,841088,841660,842650,843389,843965,844825,844393,844082,844957,846086,848230,850240,851835,852430,854042,856080,858923,861292,863965,867070,869631,870627,871109,870635,872380,871832,871399,872168,872970,874496,874407,874467,874436,880269,886129,888581,891429,894411,896010,899274,901774,903123,903821,904279,905992,910063,913413,917493,919174,921791,920089,919713,919622,921008,924131,926565,931793,934855,938519,945219,950311,953089,955243,955297,954507,954350,957156,960024,965004,966157,963991,960903,956431,956119,956883,958228,959369,957100,956387,957506,958695,960734
"346","338","      Health, gross output","DHLGRX0",359888,359098,360510,359602,361894,362140,361156,363425,363263,364957,363747,365973,364607,359769,364684,366311,365244,369752,366691,367644,369260,371613,371980,376916,375261,372676,373403,374308,376094,377904,378044,381375,381711,380461,382861,385789,388601,390812,391841,390838,391312,392402,393859,395046,396345,397166,397465,398308,399554,400898,401743,401898,402459,403067,404610,405540,406084,407075,408782,408665,408942,408957,409811,409717,411158,412201,412790,414052,414161,415011,415396,416463,418056,419234,420812,421282,421378,422153,424841,426900,428564,430682,433184,437438,440647,442193,443397,446126,448014,450134,450708,452542,453015,453816,453934,454328,456317,457297,458440,459296,459465,459464,460361,460854,460790,461177,461297,462935,463550,464362,464544,466660,468588,470989,472657,474025,475759,476939,477604,479425,481649,484177,482616,481630,482236,483068,484874,484384,483975,482738,486528,491156,492133,493425,495206,495802,497631,498939,499218,498861,498004,497966,499974,503164,508080,510690,511911,509252,507880,507058,507717,509897,511326,514894,516822,519320,523105,525748,526089,527065,526118,523666,521719,522223,523407,526303,526524,524911,523726,521270,520598,521410,522590,523456,521449,520624,520886,521832,523415
