"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"341","333","Q1AFT1 D         Passenger fares for foreign travel","Q1AFT10",20725,19993,18411,17805,15009,17523,18492,19521,18984,18887,18790,20177,19859,20005,20964,21516,22652,23282,23311,22470,22078,21721,22555,22738,22707,23182,23126,24279,24987,25288,26384,26325,26794,28818,29655,29276,29398,29599,30619,31127,31737,33830,34186,33195,33098,34909,30931,22538,28286,28229,25335,28449,28421,25918,29022,30242,32003,32892,31932,32563,33970,34701,34875,35317,36058,38809,37021,37304,38693,38425,37998,38304,37549
"342","334","Q1UST1 D         U.S. travel outside the U.S.","Q1UST10",33318,33915,33043,32106,28542,31617,30355,30535,31285,31277,30592,32109,31817,31455,32634,35174,34104,34465,33776,32968,34645,33831,33040,34878,35853,34883,35393,35314,37709,37352,38913,39727,42898,43269,43805,43670,43100,43842,44400,45276,48678,48718,48837,50343,49537,52538,45550,40491,45506,44155,42894,44884,42303,36851,41635,42162,42261,42761,42343,42076,42631,41695,40551,41761,43885,43308,42859,45432,45339,43966,44499,43299,43495
"343","335","Q1USS1 D         U.S. student expenditures","Q1USS10",758,771,772,780,766,796,796,772,750,750,751,797,853,879,927,943,948,1004,1005,977,1190,1095,1065,1127,1193,1209,1219,1223,1284,1330,1387,1413,1531,1590,1655,1634,1692,1782,1847,1808,1906,1991,2068,2171,2237,2305,2332,2344,2581,2619,2651,2871,2979,2892,2896,2890,2963,2967,2993,2981,3069,3037,3077,3296,3467,3384,3396,3718,3754,3727,3689,3691,3700
"344","336","Q1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","Q1EXF10",67801,68546,67307,71732,64325,72602,74674,77940,79475,80008,78967,80332,81724,82791,83037,83772,82659,84234,83605,84859,85004,84930,91242,94535,92182,95462,87747,101393,97250,96339,97657,95641,94893,96162,91789,94295,95336,95221,96665,98776,101385,102521,99054,99673,101202,96634,88202,75980,84449,83975,84706,91619,81692,75563,82232,89041,87472,89491,88807,89907,91812,94930,91219,90782,91653,91276,91711,94728,95614,98576,103576,108663,110884
"345","337","Q1FTU1 D         Foreign travel in the U.S.","Q1FTU10",58509,59233,57866,62105,54898,62893,64842,68137,69563,70121,68991,70337,71636,72671,72799,73614,72423,73980,73184,74715,74721,74626,80763,84155,81777,84963,77165,90757,86703,85754,87017,84624,83917,85092,80600,83086,83982,83835,85158,87237,89714,90743,87151,87627,89037,84335,75692,62856,71842,71329,71991,79211,68968,62823,70003,77367,75964,78141,77610,78982,81008,84198,80409,79984,80966,80678,81293,84603,85635,88426,93886,98803,101102
"346","338","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1132,1129,1116,1091,1121,1089,1072,1050,1085,1056,1033,1013,1052,1031,1014,998,1047,1031,1016,1004,1044,1045,1053,1070,1149,1174,1195,1214,1242,1260,1278,1294,1311,1322,1339,1346,1415,1429,1437,1447,1476,1492,1509,1526,1550,1557,1574,1590,1288,1254,1245,1238,1251,1265,1263,1262,1260,1262,1260,1262,1281,1459,1456,1466,1468,1470,1467,1467,1456,1484,1455,1487,1487
"347","339","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8514,8514,8747,8830,8847,8903,9002,8868,8933,8919,9087,9094,9127,9162,9310,9217,9282,9289,9503,9187,9297,9318,9432,9275,9246,9295,9423,9370,9275,9303,9337,9720,9663,9743,9851,9862,9939,9957,10068,10090,10183,10279,10397,10533,10666,10773,10893,11315,11225,11265,11329,11175,11248,11116,10850,10574,10403,10335,10197,10020,9967,9839,9780,9747,9689,9605,9487,9379,9315,9521,9396,9673,9699
"348",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","340","Q1TGD1 D   Goods","Q1TGD10",1937419,1921961,1920612,1890764,1874997,1888459,1897032,1878819,1921230,1923479,1943883,1977273,1980561,2011730,2032809,2054562,2082808,2103831,2123224,2159536,2149081,2163977,2188288,2205573,2221452,2261446,2276005,2303127,2332469,2330839,2386178,2410799,2435784,2490618,2523979,2595002,2615013,2671167,2694523,2741768,2790194,2795196,2818664,2838085,2854864,2853768,2872318,2967708,2974116,2989011,3015936,3022232,3043339,3091118,3168071,3179538,3218183,3231224,3266440,3310341,3335889,3383780,3413235,3407192,3471863,3488248,3521384,3557696,3598140,3599321,3624559,3637544,3613626
"350","341","Q1CGP1 D   Control Group","Q1CGP10",1688813,1685705,1688887,1671126,1669227,1685902,1684694,1670362,1702775,1702948,1721325,1750803,1756354,1778086,1800978,1812991,1834107,1859885,1881691,1911194,1911885,1928067,1946839,1959987,1973382,2009767,2024938,2050592,2066528,2074372,2111497,2128346,2161549,2194381,2221590,2261799,2299713,2332028,2353489,2413827,2431563,2461313,2478062,2496242,2501669,2505542,2519036,2558948,2592250,2607421,2612379,2638083,2659791,2691464,2758635,2778468,2815790,2831084,2863449,2903139,2936392,2970063,2992980,3032152,3082648,3099101,3125175,3162572,3193850,3196589,3228854,3236896,3224784
"351","342","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4817579,4833112,4852596,4816708,4794144,4834183,4852663,4848177,4927988,4955239,5003179,5060158,5075424,5118744,5172576,5216298,5272809,5309299,5345790,5396408,5402836,5444951,5488941,5522084,5567547,5623253,5655861,5699382,5756160,5777921,5868645,5925892,5987290,6079421,6146845,6225853,6284372,6379515,6443324,6520523,6621091,6660527,6722729,6777833,6803343,6817806,6845391,6958345,6978767,7017735,7055364,7077258,7112410,7173004,7271362,7310464,7388936,7432189,7494257,7569448,7611295,7673697,7747348,7768640,7849656,7893847,7945603,8019589,8092637,8118817,8172783,8216639,8236391
"352","343","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1995267,1978694,1976951,1945106,1926957,1939047,1945577,1926597,1970090,1971224,1990895,2024124,2024732,2055138,2074754,2094675,2122286,2142400,2160633,2195078,2182296,2194912,2216216,2229579,2242500,2278301,2289838,2313770,2338560,2331865,2383491,2404657,2425601,2477587,2504922,2572070,2587979,2641016,2661075,2705536,2750052,2752404,2773431,2790972,2805165,2801403,2817228,2908197,2910272,2922861,2947568,2950639,2970089,3013886,3085045,3094148,3130253,3141237,3173248,3213172,3235250,3279268,3304639,3296007,3355906,3368993,3399150,3431742,3470531,3469341,3490396,3500384,3476811
"353","344","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",517747,499743,494023,478542,462562,463349,468708,460604,478821,481599,491048,500333,502799,518575,523106,535104,547044,552256,556951,574906,561426,565761,579938,587059,590583,606236,608383,617881,631828,625002,650849,664542,663608,692626,706869,746778,739788,773191,787188,790031,832653,808478,818550,818287,829916,826597,830506,898516,883986,890026,913807,897893,897393,930967,964231,963559,975605,978457,994831,1008926,1011179,1036608,1049007,1008065,1045729,1044557,1057104,1064258,1087400,1089539,1097914,1100463,1082024
"354","345","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",155309,152236,150315,148316,147729,150342,149408,147272,151606,151870,154994,158072,161107,164242,166274,167754,170458,176124,180446,186120,185413,187197,192161,195008,194096,200903,201455,205569,206121,208712,213014,215891,220274,222661,228085,233117,238159,244238,251903,259696,266468,268476,270674,270677,274075,275568,276763,283043,291742,295655,295195,297807,297791,308212,322266,328051,334743,341349,349811,354095,360994,366846,376253,386015,401729,404551,411017,417055,427261,429295,437440,439385,437949
"355",NA,"         Market-based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","346","Q1MBP1   Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4944205,4963356,5046558,5099037,5149143,5233676,5292345,5367562,5427794,5513542,5569087,5641990,5721662,5760197,5806426,5855491,5887777,5892116,5921682,6033582,6056668,6094219,6131770,6153930,6181587,6245579,6338386,6376920,6439756,6467818,6522321,6594009,6636362,6702264,6765157,6777076,6848938,6887414,6935495,6999661,7067126,7084368,7131465,7176480,7186895
"357","347","Q1MBF1     Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835508,832698,839573,836460,843629,853406,860227,867652,868988,879535,884964,902834,906551,915954,918068,921456,927361,928487,930785,935198,940361,944655,944462,949489,959239,960145,975095,975544,990567,993176,998615,1014370,1022473,1032415,1045379,1056255,1068880,1072194,1079033,1098368,1103257,1099457,1103119,1114572,1113199
"358","348","Q1MBE1     Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308337,312816,312588,321249,318564,326559,327272,319930,327690,331577,332508,330118,325260,332036,332883,348946,345112,327258,329960,334198,335307,343529,342561,347546,345926,343509,345116,349796,350740,350445,348403,351771,353562,350111,354058,351021,342953,346361,350763,349076,350907,348859,352735,355778,359277
"359","349","Q1MBX1     Market-based PCE excluding food and energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780063,3817709,3907832,3961988,3993783,4058144,4105950,4177024,4232268,4303387,4352327,4409204,4489757,4512345,4555660,4584870,4614851,4636849,4661160,4764346,4781082,4806527,4844990,4857100,4876422,4942280,5018570,5051997,5098896,5124931,5177000,5229523,5262134,5323184,5368858,5373984,5446101,5477306,5513183,5561442,5623127,5647983,5687035,5716879,5723592
"360","350","Q1MBV1       Market-based PCE motor vehicles and parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266529,256931,274144,283575,277537,299644,304230,333482,320565,342242,344574,336916,364433,340567,345946,345153,353558,347600,353516,410819,383616,386279,412972,391999,388184,407580,417133,409154,415656,407234,412058,419405,408529,426598,434859,383860,398526,397727,400313,401755,417283,412082,402128,409587,393968
"361","351","Q1DXM1       Market-based PCE durables excluding motor vehicles and parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330209,337094,347884,356233,365769,374332,387669,399918,412549,423954,438535,454412,469594,475134,480608,481891,487002,490616,493134,508335,526725,534921,537305,545335,547480,568389,596263,607501,620327,629263,644735,656484,672218,687328,698552,715374,744807,749242,760590,772815,786218,796007,818288,821268,816605
"362","352","Q1MPC1       Market-based PCE clothing and shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242608,240514,248148,251334,257948,262897,261829,268491,278617,281981,284390,284583,290971,296075,300788,301770,300205,301425,302543,309502,315554,316658,315334,324001,323364,331572,340254,339558,349066,345253,349863,357244,363109,371977,371951,381928,385836,387615,392876,396611,404718,407118,413384,409593,410211
"363","353","Q1MBN1       Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446252,449138,457427,463454,468168,474529,481346,489036,497658,501800,502796,521291,515391,528393,533690,541078,537556,542593,548271,554854,561003,560712,562783,568900,578222,581892,595165,603523,603994,611652,619841,624184,629279,634829,638182,643261,652032,661274,666581,674600,680521,682460,689107,688206,683095
"364","354","Q1MBH1       Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903984,909312,915326,921081,929187,935529,942141,947488,958919,964685,971257,977311,985098,992615,999157,1006108,1013705,1020426,1025574,1031778,1033451,1032724,1029986,1028283,1031011,1035263,1043587,1053545,1062248,1068640,1076118,1084044,1093394,1102914,1112353,1120588,1128684,1135056,1140095,1145721,1152840,1160736,1168075,1177515,1184007
"365","355","Q1MBO1       Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204803,208195,213735,218276,220823,222783,226813,228605,231592,237024,241461,242878,247162,251569,253784,254234,253877,256305,257161,255420,254637,255880,255218,254569,256142,258379,259950,261427,263791,267073,270498,270820,271213,271975,273201,273098,274049,275101,275018,277211,277669,278882,279798,281061,282403
"366","356","Q1MBT1       Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329412,332213,335777,337331,339818,343780,346056,347066,352151,355010,358767,360449,363166,365220,365103,365508,367401,366241,360905,356772,356863,355835,353963,353777,355338,354642,355689,356633,358351,360711,361488,362962,363159,363184,363272,364173,365770,365154,366894,370096,372132,375400,378088,380309,382031
"367","357","Q1MBM1       Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641026,644455,648772,652117,659911,660688,661771,662014,661896,665262,670786,676394,682106,690496,697464,706022,716703,727085,740056,752868,764840,776576,787417,799694,807626,812887,818419,823568,829877,836921,845249,852807,860240,867534,875585,885086,893449,897926,900986,907385,913402,915380,918885,926499,933494
"368","358","Q1MBR1       Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158648,159630,159184,160578,163457,164592,167292,168744,171016,173544,176139,177515,178588,180446,180982,182317,184875,184735,184671,185713,186555,186488,185719,187317,187089,188113,190011,192778,194723,197827,198932,199131,199896,199501,201325,202993,202894,205151,208297,212842,215605,217541,219361,220322,221738
"369","359","Q1PER1       Market-based PCE personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86845,86855,86922,87024,88016,88547,89117,89702,89891,90379,91449,93099,95064,96640,97655,98062,97936,98079,98653,99646,100955,102118,103033,103646,103958,104202,104495,104806,105080
"370","360","Q1MBB1       Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139897,141063,148706,149271,152171,159550,166784,170379,178299,185808,189043,201155,212404,209676,214518,215925,213726,211754,206217,210092,210318,213553,218044,216530,213039,220181,222624,224548,223449,221077,221126,227400,228046,229467,233063,234696,237355,238670,238624,240084,244662,243986,244992,245303,251637
"371","361","Q1GED1       Market-based PCE public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,42440,43197,43969,44721,43961,43998,44061,44163,44282,44267,44146,43900,43214,42557,42159,42009,42048,42143,42254,42369,42476,42580,42692,42804,42908,43005,43121,43243,43348
"372","362","Q1VED1       Market-based PCE commercial and vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30162,30590,30213,30403,30603,29927,29327,29653,30262,28689,28841,27880,27567,27759,27506,27549,27452,27291,27182,27277,27364,27484,27815,28298,28904,29565,29721,30133,30727
"373","363","Q1CHC1       Market-based PCE child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26435,26789,27079,27209,26983,27312,27941,27461,27718,27931,27884,27904,27818,27871,28331,28718,28653,28487,28368,27971,27958,28242,28160,28408,28229,28322,28858,29062,29159
"374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","  the Survey of Current Business monthly (NIPA table 2.8.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","  Business annually (NIPA table 2.5.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
