"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"376","367","  PCE excluding energy","DPXERX0",7140946,7244356,7327922,7448957,7577521,7641177,7716749,7779496,7818535,7854883,7880955,8009207,8033880,8068215,8125147,8164329,8205969,8302403,8432569,8494711,8580267,8638221,8731029,8820007,8886440,8991746,9065184,9100470,9226238,9268500,9317847,9420916,9467137,9504964,9550953,9578050,9553081,9577656,9529929,9388826,9345305,9305988,9369213,9368840,9417684,9498342,9556269,9657912,9719755,9752985,9791620,9837572,9926322,9939509,9986324,10056594,10126952,10179653,10241152,10334575,10342140,10434734,10534170
"377","368","  PCE excluding food and energy \2\","DPCCRX0",6487619,6584095,6661598,6772003,6905734,6959414,7033373,7089217,7130025,7161547,7189412,7315589,7342359,7375153,7429088,7462384,7498606,7595487,7714847,7777953,7856443,7913595,8000616,8081828,8137162,8239354,8306289,8332889,8454985,8489989,8537496,8629761,8674440,8715975,8761175,8785016,8763772,8784943,8747664,8625649,8583895,8538755,8597280,8589584,8631653,8717762,8772406,8862534,8922183,8955831,8997774,9045697,9128941,9138724,9183200,9252105,9317058,9375511,9432721,9521021,9530710,9626258,9725999
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",6768094,6870236,6950401,7048180,7138732,7209761,7272757,7341874,7375107,7385168,7417386,7536978,7560537,7604569,7663169,7689316,7719602,7819354,7936199,7998722,8074296,8119953,8197409,8283138,8350308,8441897,8509687,8527307,8612445,8657512,8711870,8800560,8852881,8881847,8922286,8934403,8907622,8926023,8843643,8715434,8694425,8669093,8729982,8728510,8774784,8839356,8901542,9004582,9051203,9073203,9108826,9153716,9223077,9263775,9314903,9356874,9448209,9479147,9521375,9599912,9630038,9684613,9755835
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",288567,308138,309262,301786,326614,303604,308063,307981,316874,309193,314996,368708,340010,344147,371412,346357,343269,361428,371527,365906,371405,366208,371240,374567,361980,379247,384490,334132,347618,347622,352950,351748,357428,361264,356448,355477,335822,320989,304777,269265,277015,278975,313739,281084,277368,290902,296182,312185,312603,295485,295383,313040,320506,320266,325887,334978,339590,339764,341971,345765,348751,362354,370680
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",354799,365979,380255,396013,410380,418220,425108,429239,433201,437513,442432,459215,473770,479727,482707,491895,494817,518314,545627,562567,576126,585614,599283,610156,628800,644895,654478,672258,700574,699611,708055,722857,732743,743210,758565,765157,751245,764078,747339,707382,700711,693391,708270,722671,740152,757434,768750,785380,799316,812715,826693,840268,862669,869516,885270,902575,924135,939587,954793,968500,973276,1000340,1020099
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",656906,663706,669720,680418,674014,684372,685646,692678,690579,695547,693510,695036,692675,694095,696964,703031,708607,707634,718459,717176,724194,724811,730493,738279,749635,752457,758949,767942,771210,778623,780338,791262,792773,788780,789458,792711,788883,792310,781889,762879,761054,766788,771485,778928,785755,780210,783490,795044,797246,796844,793630,791767,797303,800656,803030,804478,809880,804290,808590,813757,811699,808938,808812
"385","373","  Market-based PCE clothing and footwear","DCLMRX0",240368,242447,244059,244684,248664,254047,256817,258985,254820,256481,256177,260597,263544,263605,262022,270185,269214,276427,282522,283196,290386,287022,290014,295850,299841,306133,305292,314361,316239,314026,317298,320601,322651,322460,324999,323751,321185,330691,323818,311835,308045,302269,305478,308399,315435,320635,321407,331572,334470,337691,332509,335095,340063,334186,338635,336649,340773,342337,339014,341089,337915,342549,343607
"386","374","  Market-based PCE gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280155,273070,272692,271463,267431,271659,270890,266711,270492,270393,272921,272874,274361,272097,272738
"387","375","  Market-based PCE other nondurable goods","DNDXRX0",589995,593432,595536,619885,612439,626880,633667,643942,639511,644308,651603,659901,665789,663840,667012,675630,685992,693258,709188,721111,721773,730775,739663,744172,750602,756907,760783,771752,787247,793901,796905,812971,816180,819196,822583,821867,818595,828874,829845,815712,812536,802594,805329,810142,815494,822698,831019,839796,847949,856046,858134,862154,869529,870875,871427,879917,893489,896626,908980,918063,921532,936663,950409
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","376","  Market-based PCE services","DSEMRX0",4439565,4485008,4536786,4586169,4643054,4700105,4737239,4785398,4814537,4819307,4829004,4842744,4876517,4907969,4925471,4944527,4962230,4995623,5029308,5063319,5101986,5136776,5176735,5228085,5260297,5305488,5353154,5368681,5389249,5427975,5457337,5493523,5524238,5543629,5568963,5577705,5599037,5602666,5584161,5567687,5543989,5539842,5542764,5548513,5562719,5586516,5618305,5660678,5684077,5710769,5740842,5752619,5783050,5813260,5838966,5855130,5895120,5914051,5924646,5971655,5994362,5999986,6031488
"390",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","377","    Market-based PCE housing services","DHSMRX0",1245532,1255384,1264815,1273837,1282923,1293347,1304941,1318118,1332243,1343679,1349559,1350559,1348626,1347678,1348758,1351875,1356931,1362220,1369714,1378445,1387514,1399267,1413453,1430131,1449080,1466975,1481468,1493265,1503250,1510934,1516663,1520177,1521419,1523405,1527428,1533306,1540824,1547571,1553720,1559250,1563683,1567348,1573001,1579397,1582051,1584624,1589440,1596335,1605415,1614694,1620976,1625522,1629810,1634450,1639465,1644964,1650798,1655968,1660228,1663729,1667286,1671024,1674699
"392","378","    Market-based PCE household utilities","DUTLRX0",269706,274951,281858,270727,268448,279992,282428,296264,289975,275886,276527,273714,275575,284459,286269,294103,292075,291511,285566,289234,290959,291296,286213,291769,291026,294520,299946,294021,279683,292559,298218,287060,295034,295732,297049,285673,292731,291625,280619,290717,289612,289898,287703,290476,294423,291277,296404,299872,292365,289252,295829,285954,274112,287344,291937,277915,296125,290730,279175,285107,308277,288466,276344
"393","379","    Market-based PCE health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1680036,1688193,1687178,1705950,1732440,1737527,1752665,1757463,1759087,1774558,1785988,1804666,1798407,1815914,1836574
"394","380","    Market-based PCE transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290180,293497,295983,296857,297293,298640,300950,301459,305363,307117,307894,310027,311439,314282,316324
"395","381","    Market-based PCE recreation services","DRCMRX0",233036,235200,238781,239908,240097,242512,242171,242789,243844,240972,239280,238639,239328,238661,237889,240041,239997,241604,244504,248264,250038,253360,254636,255599,257387,256930,258861,261266,261380,264909,266421,271124,275138,277331,280244,280200,281220,281190,278893,275349,272268,269898,269172,272623,274732,273974,277831,281939,279705,284461,288444,286734,289080,289527,288875,292431,295740,296505,298509,298551,298191,295104,296798
"396","382","    Market-based PCE food services and accommodations","DFSMRX0",493502,496500,498509,510485,518968,523582,525400,523579,527473,522119,519103,518253,526037,530031,530947,531673,535410,545503,554865,560535,566676,567390,572535,578383,581476,589733,593549,599349,607960,604152,607461,616728,613809,615262,615906,621563,613280,616827,610669,601090,590092,584149,582595,582102,588107,592927,596522,601255,606654,607442,610430,613249,620026,622291,626249,633306,638248,636592,636936,648339,646230,654767,662813
"397","383","    Market-based PCE financial services and insurance","DFIMRX0",79750,85096,89112,98510,110852,109483,111357,116408,112323,110660,106005,110633,111422,113960,116707,114205,109469,114200,116367,115598,118513,114840,113625,117197,115216,119436,122183,122419,125174,125550,124681,125122,127658,129160,130085,130004,128723,125450,126824,124182,123737,126165,127652,124880,121932,121599,114006,115077,116781,115039,119315,117178,115387,115686,107580,109803,111129,110628,109723,110671,109877,110852,113245
"398","384","    Market-based PCE other services","DOTMRX0",651607,660972,670246,679172,691891,704257,713425,716845,719208,723222,724217,720731,719031,721231,722703,724169,730190,735716,738760,740748,744630,747984,752959,755831,759797,760610,760403,761746,767098,775015,781087,793809,801731,806458,809125,813919,816557,816975,814473,805410,792074,782756,780736,784792,790970,795066,799074,803821,812865,818163,822632,820961,824303,827401,831141,837088,838256,841517,845680,849902,854065,849231,854308
"399",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","385","      Market-based PCE communication services","DCOMRX0",122566,127991,132989,136454,141265,148039,152132,153980,154507,157141,158130,157374,157905,159909,159460,159833,161492,163299,164771,164978,167389,171153,174014,175206,176463,178651,179843,180652,184449,188493,192240,200171,204931,209078,211974,216604,220291,221997,223278,220652,217774,216331,217102,220212,223482,225719,228332,230582,237826,242389,247103,245484,249331,251363,253790,260635,265199,267283,270291,271541,274953,268180,270071
"401","386","      Market-based PCE education","DTEDRX0",212244,213080,213995,215914,218168,220183,222549,224282,225629,226494,225392,224020,221463,220093,220705,218968,219037,219531,218854,217883,216575,214551,212992,213213,213973,213824,214188,214823,215511,216138,216004,217820,218460,219316,219753,220321,220086,220346,221228,220190,219513,218736,219581,221606,223581,224590,225390,226240,226300,225578,224489,224332,223861,223179,223216,222934,222641,224574,226062,226723,227569,228493,229587
"402","387","      Market-based PCE professional services","DPRMRX0",147397,147587,147585,147904,148318,148352,150034,150098,152037,153124,154597,154237,153490,153356,154333,156273,158964,160732,160509,160550,160452,158696,159967,160607,162039,160429,158773,158472,158460,160613,161533,162578,164132,163401,162273,161276,160979,160795,158975,156753,152566,149602,148004,145979,146257,146351,146467,145829,146089,146488,146351,146155,146347,145867,145627,144418,142520,143188,143431,145819,144932,144082,145103
"403","388","      Market-based PCE personal care and clothing services","DPERRX0",101254,102350,103747,105392,107111,108309,108862,108719,107998,107494,107420,107757,108406,109015,109632,110136,110889,111753,112965,114362,115607,116865,117890,118698,119299,119563,119664,119497,119867,120533,121097,121526,120999,120516,120147,119869,119449,118576,117311,115650,111929,109548,108692,109380,110415,112293,113099,114389,115816,115947,116515,116447,116214,118183,119292,119571,118672,116823,115785,115862,116195,116730,117709
"404","389","      Market-based PCE child care","DCHCRX0",26930,27024,26911,27026,27207,27277,27232,27741,28046,28167,28510,28350,28368,28412,28400,28464,28381,28409,28638,28930,28724,28866,29046,28539,28617,28543,28241,28501,28481,28544,28941,29621,30128,30458,30781,30959,30729,30770,30314,29890,30024,29985,30000,30721,30599,29807,29441,29590,29416,29868,29818,29874,30031,30096,30221,30397,30198,29995,30256,30047,30452,30635,30670
"405","390","      Market-based PCE household maintenance","DHMMRX0",60101,59511,59560,60067,62030,62141,61842,61089,60377,59633,58596,57365,57032,57207,57235,57220,57829,58090,58645,59461,60548,61451,61987,62349,62168,62024,61961,62021,62166,62192,62402,62698,63409,63849,64246,64804,64867,64347,63276,62227,60268,58561,57356,56889,56633,56316,56399,57311,57819,58535,59334,59565,59688,60092,60572,61330,61684,62344,62691,62751,63087,63486,63607
"406","391","Market-based PCE food and energy","DPMFRX0",1147661,1164204,1174098,1176259,1157661,1183725,1187929,1206259,1198800,1186786,1189132,1188120,1185917,1197577,1203096,1217205,1218531,1216661,1226102,1232024,1240813,1242141,1241608,1255400,1272002,1271125,1277864,1287392,1272983,1289693,1299219,1307178,1314845,1307323,1306803,1296025,1296167,1292417,1259877,1259532,1266790,1267289,1268073,1274634,1285472,1280476,1290481,1303328,1295482,1283659,1286504,1274835,1264429,1285489,1291286,1274969,1301596,1291428,1288061,1298139,1319809,1295641,1284962
"407","392","Market-based PCE excluding food","DMXFRX0",6113712,6208932,6283023,6370209,6466385,6527274,6588775,6650901,6685978,6691253,6725282,6842996,6868748,6911257,6966885,6987120,7011964,7112270,7218311,7281893,7350461,7395396,7467134,7545079,7601073,7689646,7750960,7759924,7841595,7879420,7931890,8009808,8060469,8093151,8132802,8141725,8118716,8133726,8061726,7952579,7933404,7902251,7958454,7949645,7989146,8059128,8118008,8209522,8253907,8276289,8315137,8361936,8425765,8463111,8511878,8552415,8638363,8674958,8712880,8786259,8818468,8875869,8947303
"408","393","Market-based PCE excluding energy","DPMERX0",6289932,6382605,6458540,6562565,6661273,6718576,6778169,6836840,6874084,6899271,6927008,7046874,7069656,7104361,7159877,7179130,7212936,7311961,7429095,7484303,7557876,7602519,7685313,7765174,7827368,7922093,7989571,8006328,8109501,8144979,8191602,8283128,8329413,8362303,8404215,8430925,8399851,8426003,8368592,8219332,8188824,8168688,8233370,8232597,8274798,8339292,8394725,8496463,8553982,8588749,8618382,8674923,8762413,8783777,8831599,8893677,8962343,8999140,9049955,9123682,9128400,9207376,9291083
"409","394","Market-based PCE excluding food and energy","DPCXRX0",5636842,5722551,5792376,5885761,5989712,6037007,6095029,6146756,6185731,6206096,6235591,6353376,6378262,6411433,6463930,6477366,6505731,6605134,6711428,6767615,6834181,6878064,6955097,7027184,7078243,7169893,7230884,7238957,7338592,7366840,7411615,7492319,7536961,7573584,7614725,7638197,7610936,7633661,7586706,7456547,7427817,7401866,7461843,7453699,7489116,7559070,7611208,7701399,7756696,7791886,7824836,7883405,7965419,7983393,8028883,8089605,8152889,8195474,8241998,8310591,8317413,8399376,8483426
"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
