"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"315","307","          Clothing repair, rental, and alterations","DLGRRX0",8011,8057,8094,8084,8095,8103,8108,8111,8111,8121,8107,8081,8005,7974,7958,7965,7969,7980,8000,8028,8067,8088,8163,8269,8343,8411,8474,8534,8587,8635,8678,8716,8748,8774,8793,8805,8815,8821,8829,8838,8849,8862,8875,8891,8907,8924,8941,8959,8978,8995,9012,9029,9047,9065,9083,9102,9119,9137,9153,9167,9182,9191,9194,9193,9186,9175,9158,9136,9109,9076,9038,8993,8942,8894,8848,8805,8766,8730,8697,8667,8640,8615,8593,8574,8559,8541,8522,8502,8482,8462,8440,8418,8395,8371,8347,8320,8292,8260,8226,8190,8152,8115,8077,8036,7993,7947,7898,7847,7782,7730,7682,7638,7599,7562,7529,7499,7473,7450,7430,7413,7399,7385,7373,7364,7356,7350,7345,7342,7341,7341,7341,7344,7320,7300,7283,7271,7263,7260,7261,7266,7276,7289,7306,7327,7321,7316,7313,7313,7308,7299,7285,7269,7249,7225,7198,7167,7132,7097,7060,7022,6984,6946,6907,6869,6834,6801,6756,6699,6631,6566,6507,6451,6399,6350,6305,6269,6242,6224,6186,6128,6051,6000,5977,5993,6003,6011,6016,6020,6025
"316","308","          Repair and hire of footwear","DSCLRX0",687,685,683,681,677,681,679,677,668,665,661,657,647,641,637,638,635,630,625,619,616,606,605,600,594,590,585,582,578,576,574,573,572,572,572,572,574,575,576,577,579,580,582,583,585,587,589,591,593,594,595,595,595,595,594,593,591,589,586,583,579,575,572,568,564,560,557,553,549,546,542,538,534,531,528,525,523,521,520,519,518,518,518,518,519,520,520,519,519,518,517,516,514,512,510,507,504,502,499,497,495,494,493,492,492,492,492,493,493,493,493,493,492,490,489,487,484,482,478,475,471,468,467,467,468,470,474,478,484,492,501,511,501,492,484,478,473,469,466,465,464,465,467,470,472,474,476,478,479,480,481,482,482,483,483,482,482,481,481,480,479,478,477,476,474,473,471,470,468,466,465,463,462,461,460,460,460,459,459,459,459,458,457,456,455,454,453,453,452
"317","309","      Social services and religious activities (120)","DSOCRX0",78679,78885,79076,79320,79295,79484,79242,79370,79516,79547,79688,79819,79525,79906,80090,80401,80698,81093,81222,81353,81515,81804,82183,82561,82518,82498,82489,82764,82954,83066,83483,83744,83991,84272,84538,84833,85182,85688,86214,86694,87107,87807,88650,88906,89533,89809,90139,90585,91195,91636,91980,92080,92391,92958,93197,93629,94003,94522,95025,95547,95949,96424,96857,97553,98020,98393,98687,99184,99806,100511,101459,102076,103285,103879,104581,105047,105343,105923,106685,107399,107758,107947,108106,108316,108616,109013,109456,109881,110249,110400,110624,110995,111304,111838,112158,112560,112565,112436,112505,112886,113524,114142,114671,114745,115016,115476,116124,116702,117083,117066,116870,116967,117382,117796,118272,118735,119144,118592,117755,117152,117176,118069,118922,119270,119056,118584,118034,118043,118201,118759,119817,120495,120924,121039,120834,120719,121001,121498,121989,122347,122497,122729,123049,123280,123483,124102,124958,125408,125616,125827,126116,126588,126780,127127,127291,127391,127587,127941,128287,128714,128946,129225,129470,129699,130182,130649,130770,130864,130851,131011,131090,131370,131272,130892,130528,130634,130903,131183,131245,131466,131354,131171,131421,130879,130959,131280,132127,132290,132898
"318","310","        Child care","DCHCRX0",22672,22734,22754,22886,22755,22760,22558,22373,22235,22166,22104,22000,21900,21918,21934,21908,21879,21700,21597,21458,21468,21581,21739,21830,21816,21844,21830,21917,21990,22013,22111,22132,22153,22097,22014,21810,21712,21711,21663,21609,21571,21800,22015,21940,22011,22044,22110,22252,22470,22607,22702,22664,22650,22701,22640,22542,22550,22577,22674,22771,22816,22815,22845,22862,22898,22894,22776,22818,22945,23128,23300,23392,23467,23527,23594,23620,23582,23691,23825,23928,24003,23829,23773,23752,23776,23800,23822,23849,23861,23800,23802,23855,23824,23868,23881,23894,23843,23823,23842,23816,23880,23933,24050,24048,24143,24278,24363,24369,24292,24166,24067,24184,24348,24391,24465,24430,24527,24227,24025,23932,24033,24154,24254,24214,24102,23964,23814,23834,23911,23961,24094,24262,24081,24140,24106,24104,24149,24242,24364,24508,24643,24818,25076,25401,25416,25547,25707,25809,25820,25931,26008,26228,26223,26329,26348,26345,26265,26384,26487,26629,26683,26691,26672,26516,26503,26438,26479,26586,26816,26963,26994,26976,26917,26819,26704,26708,26811,26962,26982,26948,27060,26888,26937,26363,26335,26098,25975,25782,25897
"319","311","        Social assistance","DSCWRX0",36051,36194,36317,36424,36488,36628,36632,36799,37006,37132,37293,37439,37247,37515,37632,37865,38133,38578,38849,39052,39144,39231,39452,39789,39861,39908,39972,40145,40262,40360,40656,40864,41042,41324,41644,42011,42291,42664,43097,43564,43982,44468,45094,45467,46009,46269,46591,46956,47412,47775,48102,48380,48812,49357,49664,50172,50583,51144,51583,52074,52506,53043,53520,54216,54628,55015,55473,56043,56620,57214,57979,58588,59702,60304,61000,61493,61892,62429,63086,63727,64117,64590,64974,65336,65705,66114,66537,66952,67375,67665,67896,68175,68438,68848,69074,69329,69326,69194,69208,69518,69992,70445,70777,70835,70951,71191,71627,72144,72642,72810,72829,72826,73027,73300,73642,74077,74361,74190,73685,73306,73287,73950,74578,74911,74837,74567,74218,74156,74194,74581,75285,75624,76085,76107,75925,75768,75875,76144,76441,76616,76591,76573,76550,76408,76465,76812,77364,77637,77798,77885,78056,78321,78593,78953,79239,79398,79721,79984,80219,80506,80694,80970,81233,81561,81958,82346,82421,82439,82377,82461,82523,82732,82710,82480,82336,82482,82641,82843,82966,83381,83214,83254,83392,83792,84060,84630,85325,85585,85900
"320","312","          Homes for the elderly","DELDRX0",7264,7277,7286,7292,7289,7301,7302,7331,7368,7388,7416,7441,7398,7447,7466,7508,7556,7640,7694,7660,7603,7546,7513,7502,7475,7445,7436,7459,7494,7523,7569,7611,7659,7724,7797,7893,7975,8050,8122,8225,8311,8398,8441,8508,8610,8706,8746,8803,8880,8963,9031,9100,9168,9276,9346,9427,9488,9555,9640,9712,9772,9857,9942,10069,10148,10215,10290,10399,10479,10598,10725,10874,11112,11248,11387,11465,11520,11596,11690,11780,11842,11908,11962,11986,12101,12211,12319,12330,12365,12395,12412,12420,12426,12452,12487,12529,12520,12444,12361,12375,12448,12536,12595,12566,12521,12525,12618,12718,12774,12718,12646,12625,12674,12745,12813,12886,12957,12999,12979,12967,12995,13111,13246,13336,13375,13377,13347,13325,13278,13258,13322,13342,13461,13510,13514,13542,13581,13631,13631,13641,13626,13633,13560,13449,13385,13425,13534,13547,13473,13359,13312,13359,13414,13470,13483,13487,13538,13587,13628,13664,13685,13706,13711,13750,13772,13793,13790,13774,13741,13717,13702,13695,13688,13683,13695,13731,13776,13798,13881,13848,13785,13794,13802,13830,13859,13849,13845,13848,13822
"321","313","          Residential mental health and substance abuse","DMENRX0",2412,2420,2426,2432,2434,2442,2442,2452,2466,2474,2484,2493,2480,2497,2504,2519,2537,2566,2584,2588,2586,2583,2588,2602,2551,2514,2497,2498,2513,2536,2582,2637,2708,2801,2909,3051,3206,3372,3533,3707,3869,4030,4173,4312,4467,4610,4724,4830,4930,5037,5140,5239,5360,5503,5643,5789,5930,6075,6225,6379,6527,6692,6846,7024,7175,7317,7488,7660,7812,7969,8129,8285,8509,8681,8870,9040,9201,9394,9603,9803,9977,10188,10396,10613,10780,10957,11107,11283,11436,11554,11663,11771,11869,11960,11979,11988,11962,11953,11951,11992,12043,12088,12108,12079,12075,12101,12205,12326,12438,12425,12376,12343,12391,12469,12545,12630,12700,12727,12672,12598,12582,12685,12807,12856,12829,12765,12682,12650,12636,12670,12733,12746,12762,12738,12698,12683,12694,12720,12740,12763,12754,12757,12738,12700,12750,12829,12935,12978,13005,13028,13078,13139,13202,13282,13361,13412,13497,13571,13630,13687,13742,13784,13815,13871,13959,14029,14023,14019,13974,13967,13968,14022,14022,13981,13957,14007,14062,14145,14246,14406,14282,14318,14224,14232,14277,14360,14390,14429,14539
"322","314","          Individual and family services","DFAMRX0",17189,17269,17340,17403,17446,17525,17527,17610,17713,17777,17857,17931,17842,17973,18033,18148,18280,18497,18627,18781,18883,18982,19147,19368,19488,19587,19671,19765,19790,19800,19877,19928,19940,20060,20152,20221,20196,20231,20309,20398,20465,20570,20740,20863,21070,21174,21246,21361,21518,21613,21706,21774,21904,22031,22119,22294,22410,22548,22621,22750,22858,23010,23147,23402,23504,23617,23762,23934,24131,24255,24556,24737,25154,25342,25574,25743,25869,26035,26246,26448,26542,26670,26734,26785,26807,26858,26924,27031,27129,27167,27175,27239,27318,27471,27523,27565,27603,27633,27787,27965,28185,28382,28569,28695,28842,29022,29231,29495,29767,29920,29992,29979,30009,30064,30182,30306,30290,29933,29438,29034,28926,29161,29400,29416,29251,29027,28858,28873,29020,29381,29881,30252,30548,30643,30651,30649,30790,31003,31279,31448,31537,31585,31691,31774,31951,32230,32552,32750,32912,33046,33173,33303,33447,33667,33838,33901,33882,33896,33932,34098,34179,34324,34519,34734,34987,35222,35324,35323,35310,35361,35431,35562,35621,35607,35558,35638,35784,35859,35784,36143,36178,36226,36456,36849,37085,37305,37807,37911,38119
"323","315","          Vocational rehabilitation services","DVOCRX0",4426,4446,4462,4477,4487,4506,4506,4527,4553,4569,4590,4608,4585,4618,4633,4663,4696,4751,4785,4818,4838,4857,4893,4944,4964,4968,4961,4986,5004,5023,5120,5151,5173,5132,5131,5132,5155,5199,5266,5296,5341,5412,5636,5624,5620,5465,5515,5543,5596,5614,5623,5620,5667,5760,5701,5735,5763,5919,5988,6054,6104,6156,6180,6224,6238,6239,6214,6241,6308,6419,6481,6505,6563,6563,6574,6587,6605,6645,6693,6708,6680,6649,6633,6629,6625,6629,6636,6660,6684,6707,6737,6772,6807,6860,6918,6999,7061,7105,7157,7209,7246,7272,7300,7320,7357,7389,7412,7426,7440,7479,7513,7552,7592,7643,7688,7765,7849,7905,7946,7991,8006,8068,8111,8163,8193,8210,8200,8198,8180,8175,8191,8133,8123,8055,7970,7906,7893,7898,7874,7819,7734,7677,7658,7633,7586,7555,7557,7558,7575,7576,7562,7544,7536,7559,7579,7618,7681,7733,7763,7793,7809,7836,7864,7874,7888,7887,7878,7926,7995,8071,8119,8186,8201,8166,8242,8312,8287,8340,8381,8305,8285,8313,8346,8385,8403,8510,8559,8531,8502
"324","316","          Community food and housing/emergency/other relief services","DCFORX0",1636,1644,1651,1657,1661,1669,1669,1677,1687,1693,1701,1708,1699,1712,1718,1728,1741,1762,1774,1789,1800,1810,1826,1848,1847,1847,1849,1856,1861,1866,1879,1894,1911,1942,1976,2012,2045,2078,2116,2156,2197,2237,2281,2319,2364,2397,2431,2472,2516,2549,2580,2609,2648,2682,2710,2744,2781,2819,2857,2899,2943,2992,3036,3084,3120,3154,3194,3230,3273,3321,3390,3440,3524,3575,3633,3655,3665,3687,3721,3793,3833,3885,3914,3939,3966,3982,4025,4071,4134,4181,4219,4255,4275,4328,4377,4452,4403,4304,4207,4225,4303,4389,4425,4402,4386,4381,4390,4407,4440,4470,4490,4513,4565,4601,4626,4666,4725,4799,4859,4965,5004,5091,5139,5241,5301,5337,5321,5310,5285,5300,5338,5331,5337,5313,5269,5194,5122,5083,5098,5127,5131,5099,5066,5009,4956,4939,4946,4952,4965,4997,5042,5090,5130,5134,5148,5155,5276,5357,5451,5483,5516,5568,5589,5621,5654,5732,5745,5775,5785,5814,5806,5787,5732,5633,5509,5431,5381,5335,5273,5224,5146,5128,5144,5077,5041,5135,5212,5348,5331
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3027,3041,3054,3065,3073,3086,3087,3101,3120,3131,3145,3158,3142,3165,3176,3196,3219,3258,3281,3308,3326,3344,3374,3413,3421,3430,3441,3462,3480,3493,3511,3524,3535,3551,3566,3591,3607,3630,3649,3683,3704,3727,3731,3751,3790,3829,3844,3863,3889,3918,3943,3960,3988,4030,4071,4111,4140,4160,4187,4215,4240,4277,4311,4357,4389,4421,4475,4530,4568,4607,4654,4704,4798,4857,4926,4967,4997,5040,5101,5166,5218,5268,5316,5367,5414,5468,5520,5574,5625,5662,5693,5723,5746,5781,5796,5802,5781,5756,5740,5747,5763,5774,5777,5768,5764,5766,5766,5767,5778,5792,5804,5806,5790,5772,5783,5820,5837,5825,5789,5752,5774,5835,5876,5899,5887,5851,5811,5800,5794,5796,5819,5821,5854,5848,5822,5795,5795,5810,5819,5817,5807,5822,5836,5841,5837,5834,5841,5853,5870,5881,5893,5887,5866,5843,5833,5828,5848,5840,5813,5780,5762,5750,5732,5708,5695,5679,5656,5616,5566,5525,5491,5475,5443,5407,5376,5365,5354,5371,5409,5464,5550,5486,5428,5424,5399,5475,5508,5509,5580
"326","318","        Social advocacy and civic and social organizations","DSADRX0",14085,14098,14141,14153,14168,14203,14142,14237,14265,14210,14215,14251,14171,14217,14241,14337,14361,14427,14349,14336,14356,14410,14400,14342,14236,14144,14080,14095,14098,14086,14109,14136,14179,14219,14231,14333,14484,14611,14738,14791,14815,14817,14830,14779,14795,14788,14742,14700,14660,14622,14565,14436,14339,14321,14324,14346,14315,14260,14249,14206,14151,14107,14052,14047,14087,14095,14056,13957,13897,13848,13879,13812,13839,13789,13746,13714,13669,13628,13625,13620,13541,13447,13304,13200,13134,13124,13146,13148,13097,13031,13034,13086,13170,13254,13338,13474,13533,13557,13593,13684,13777,13880,13948,13955,14003,14073,14183,14219,14168,14093,13964,13939,13982,14077,14136,14200,14233,14161,14043,13928,13888,14015,14153,14217,14196,14135,14083,14131,14167,14279,14489,14643,14800,14836,14847,14888,15014,15143,15206,15231,15254,15308,15367,15383,15471,15574,15687,15735,15754,15749,15781,15763,15694,15587,15464,15434,15428,15430,15466,15489,15503,15527,15553,15644,15770,15944,15966,15946,15765,15703,15704,15814,15813,15774,15682,15647,15657,15582,15504,15352,15287,15255,15323,15025,14882,14910,15222,15349,15531
"327","319","        Religious organizations' services to households","DRELRX0",5569,5557,5558,5569,5578,5592,5603,5628,5655,5675,5714,5758,5852,5898,5932,5930,5950,5969,5976,6021,6052,6086,6096,6085,6057,6033,6011,5994,5980,5969,5962,5959,5959,5962,5968,5976,5989,5998,6006,6013,6018,6021,6023,6024,6023,6020,6014,6006,5997,5985,5973,5961,5949,5936,5923,5909,5894,5878,5861,5842,5823,5805,5787,5771,5756,5742,5730,5718,5708,5699,5691,5683,5676,5668,5659,5649,5639,5628,5615,5603,5589,5574,5558,5541,5524,5507,5490,5476,5463,5452,5441,5433,5426,5421,5416,5412,5409,5407,5406,5406,5408,5413,5420,5428,5437,5448,5459,5471,5477,5487,5495,5501,5506,5507,5507,5504,5499,5491,5481,5468,5452,5437,5425,5416,5409,5405,5403,5403,5406,5411,5417,5427,5415,5406,5399,5395,5393,5394,5397,5403,5411,5422,5434,5449,5487,5519,5546,5568,5585,5597,5605,5607,5605,5596,5583,5564,5539,5515,5492,5470,5449,5430,5412,5395,5380,5365,5352,5339,5327,5316,5306,5298,5290,5285,5281,5279,5278,5278,5279,5282,5277,5271,5266,5261,5256,5251,5247,5243,5239
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1220,1221,1218,1211,1208,1196,1176,1168,1159,1155,1137,1125,1113,1105,1093,1087,1083,1082,1092,1104,1111,1121,1131,1147,1178,1206,1229,1249,1265,1276,1283,1286,1283,1276,1264,1248,1226,1206,1187,1169,1152,1136,1121,1107,1094,1082,1071,1060,1050,1040,1030,1020,1010,1000,990,980,969,959,948,938,927,915,903,889,875,860,845,828,811,794,775,757,738,718,700,681,663,646,628,611,595,578,562,547,531,518,506,496,487,480,475,471,468,466,465,466,468,470,472,475,478,481,485,488,492,496,501,505,509,513,517,520,522,523,524,524,524,523,521,518,515,513,511,511,511,513,515,518,523,528,534,541,548,555,562,569,576,583,590,596,603,609,616,622,628,632,637,641,643,644,644,643,641,638,633,627,619,611,605,599,594,589,585,581,579,577,574,569,561,555,549,543,538,533,529,523,518,511,507,505,506,506,507,497,492,490,491,491,492
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",46530,46975,47329,47361,47431,47667,48023,47937,48059,48019,47955,47706,47439,47543,47561,47632,47937,48032,48194,48141,48058,48055,47985,48362,48932,49286,49586,49835,50171,50494,50862,51209,51577,52024,52345,52745,53403,53924,54447,54945,55330,55460,55751,55988,56124,56233,56160,55953,55579,55386,55125,54806,54686,54492,54493,54555,54655,54660,54823,55262,56360,56653,56928,56778,56655,56552,56510,56287,56120,55951,55596,55108,55510,54828,54258,54406,54130,53684,53380,52990,52586,52127,51690,51227,51264,51349,51210,51323,51406,51416,51393,51440,51309,51365,51365,51401,51915,52035,52220,52217,52375,52408,52622,52849,53102,53282,53580,53874,54195,54556,54881,55137,55427,55670,55814,55989,56270,56464,56565,56690,56641,56618,56647,56745,56814,56919,57044,57207,57287,57350,57400,57468,57556,57631,57673,57701,57869,58087,58176,58454,58674,58468,58769,59094,59365,59612,59860,60014,60213,60436,60529,60739,61018,61288,61505,61624,61816,61673,61678,61516,61294,61013,60561,60142,59731,59460,59071,58502,57765,57133,56481,55913,55420,54940,54518,54192,53946,53773,53737,53795,54075,54104,54171,54197,54205,54243,54293,54331,54370
"330","322","        Domestic services","DDMSRX0",20353,20502,20647,20680,20719,20819,20834,20869,20870,20892,20884,20856,20878,20877,20853,20819,20746,20661,20547,20500,20396,20292,20213,20109,20527,20733,20882,20975,21152,21311,21513,21688,21886,22158,22312,22544,22997,23356,23724,24070,24310,24308,24468,24581,24603,24606,24439,24152,23707,23447,23120,22730,22534,22263,22182,22159,22173,22096,22176,22529,23529,23766,24005,23844,23735,23667,23678,23537,23472,23431,23230,22919,23511,23032,22650,22970,22862,22577,22428,22183,21915,21588,21277,20936,21076,21266,21231,21437,21607,21698,21752,21872,21809,21930,21993,22091,22657,22815,23013,22997,23112,23068,23175,23268,23365,23361,23449,23508,23604,23718,23812,23844,23921,23969,23935,23945,24072,24130,24121,24149,24022,23924,23873,23886,23867,23883,23916,23986,23970,23939,23898,23871,24061,24212,24307,24359,24525,24713,24744,24940,25050,24711,24854,24993,25167,25332,25511,25606,25783,26020,26163,26356,26548,26663,26744,26748,26845,26693,26763,26746,26719,26685,26531,26344,26095,25920,25724,25442,25085,24824,24537,24323,24165,23999,23869,23783,23725,23691,23692,23686,23835,23791,23830,23935,23983,24047,24111,24161,24210
"331","323","        Moving, storage, and freight services","DMSERX0",11607,11757,11882,11891,11938,12015,12234,12185,12269,12263,12251,12163,11995,12068,12102,12180,12425,12538,12723,12739,12806,12886,12926,13258,13417,13565,13706,13839,13963,14080,14185,14284,14371,14448,14511,14562,14672,14711,14750,14792,14836,14881,14926,14974,15023,15071,15120,15168,15217,15266,15319,15378,15441,15508,15581,15657,15738,15821,15907,15996,16089,16160,16211,16244,16254,16244,16214,16162,16090,15995,15878,15740,15581,15420,15265,15112,14963,14817,14671,14530,14392,14254,14117,13981,13851,13729,13616,13516,13426,13349,13283,13227,13182,13146,13120,13103,13097,13106,13132,13178,13243,13331,13440,13567,13711,13876,14061,14265,14473,14686,14886,15076,15257,15424,15576,15716,15845,15957,16049,16129,16194,16259,16330,16404,16481,16563,16647,16734,16825,16916,17008,17104,17050,17012,16989,16982,16991,17018,17062,17120,17196,17288,17393,17516,17621,17701,17757,17791,17791,17760,17696,17705,17789,17945,18086,18210,18316,18348,18305,18189,18028,17821,17568,17393,17297,17278,17175,16989,16721,16448,16171,15889,15617,15358,15109,14907,14750,14639,14618,14686,14845,14951,15009,14931,14903,14894,14906,14917,14930
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2740,2729,2717,2701,2686,2670,2653,2637,2619,2603,2582,2558,2547,2534,2521,2506,2492,2477,2461,2446,2431,2418,2400,2378,2364,2353,2345,2340,2337,2337,2340,2346,2354,2365,2378,2394,2413,2428,2441,2451,2458,2462,2463,2461,2456,2448,2437,2423,2405,2387,2369,2353,2337,2322,2307,2293,2280,2266,2253,2241,2229,2215,2199,2181,2162,2140,2117,2092,2065,2036,2006,1974,1940,1908,1877,1847,1819,1793,1767,1743,1719,1697,1676,1656,1637,1620,1604,1590,1578,1568,1559,1551,1546,1541,1538,1537,1537,1535,1532,1528,1523,1517,1510,1502,1492,1481,1469,1456,1439,1426,1415,1405,1397,1391,1386,1383,1382,1382,1383,1386,1391,1395,1398,1400,1402,1404,1404,1404,1404,1402,1400,1397,1392,1387,1382,1376,1370,1365,1359,1352,1346,1340,1333,1326,1317,1309,1301,1294,1287,1279,1272,1265,1258,1251,1244,1238,1232,1224,1215,1204,1191,1178,1164,1149,1134,1118,1099,1075,1046,1020,997,976,957,940,924,911,899,888,881,876,876,875,875,877,878,879,880,880,881
